Page,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,"	Latitude",Longitude
2,3163,Camp Mujuk Center,17-Oct,844,675.2,,,35.96,129.42611
2,3163,Camp Mujuk Center,17-Nov,1048,838.4,,,35.96,129.42611
2,3163,Camp Mujuk Center,17-Dec,700,560,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Jan,32,25.6,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Feb,238.95,191.15,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Mar,1492,1193.6,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-May,788.75,631,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Jun,345,276,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Sep,329,263.2,5817.7,4654.15,35.96,129.42611
2,3163,Camp Mujuk Center,18-Oct,10,8,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Nov,343,274.4,,,35.96,129.42611
2,3163,Camp Mujuk Center,18-Dec,836,668.8,,,35.96,129.42611
2,3163,Camp Mujuk Center,19-Jan,279.85,223.88,,,35.96,129.42611
2,3163,Camp Mujuk Center,19-Sep,1468.85,1175.08,,,35.96,129.42611
3,1127,Road House 400201,15-May,,,,,35.32059,138.86873
3,1127,Road House 400201,15-Jun,,,,,35.32059,138.86873
3,1127,Road House 400201,15-Sep,2499.75,1999.8,2499.75,1999.8,35.32059,138.86873
3,1127,Road House 400201,15-Oct,664.48,758.4,,,35.32059,138.86873
3,1127,Road House 400201,15-Nov,2375.49,2091.8,,,35.32059,138.86873
3,1127,Road House 400201,15-Dec,1066,852.8,,,35.32059,138.86873
3,1127,Road House 400201,16-Jan,-2293.64,875.2,,,35.32059,138.86873
3,1127,Road House 400201,16-Feb,10358.82,7571.85,,,35.32059,138.86873
3,1127,Road House 400201,16-Mar,14303.32,11041.6,,,35.32059,138.86873
3,1127,Road House 400201,16-Apr,3961.36,3276,,,35.32059,138.86873
3,1127,Road House 400201,16-May,4516.04,4191.2,,,35.32059,138.86873
3,1127,Road House 400201,16-Jun,17113.31,16008.4,,,35.32059,138.86873
3,1127,Road House 400201,16-Jul,6176.65,3540,,,35.32059,138.86873
3,1127,Road House 400201,16-Aug,6291.27,4649.6,,,35.32059,138.86873
3,1127,Road House 400201,16-Sep,3710.13,5741.45,68243.23,60598.3,35.32059,138.86873
3,1127,Road House 400201,16-Oct,16841.09,10325.45,,,35.32059,138.86873
3,1127,Road House 400201,16-Nov,2851.92,2982.75,,,35.32059,138.86873
3,1127,Road House 400201,16-Dec,11259.97,7028.95,,,35.32059,138.86873
3,1127,Road House 400201,17-Jan,8183.8,6547.05,,,35.32059,138.86873
3,1127,Road House 400201,17-Feb,3458.07,1968,,,35.32059,138.86873
3,1127,Road House 400201,17-Mar,16111.58,12285.5,,,35.32059,138.86873
3,1127,Road House 400201,17-Apr,13435.79,11106.8,,,35.32059,138.86873
3,1127,Road House 400201,17-May,10766.57,8229.6,,,35.32059,138.86873
3,1127,Road House 400201,17-Jun,2589.5,2071.6,,,35.32059,138.86873
3,1127,Road House 400201,17-Jul,7855,6284,,,35.32059,138.86873
3,1127,Road House 400201,17-Aug,11401.9,9121.5,,,35.32059,138.86873
3,1127,Road House 400201,17-Sep,8676.8,6941.45,113431.99,84892.65,35.32059,138.86873
3,1127,Road House 400201,17-Oct,3382,2705.6,,,35.32059,138.86873
3,1127,Road House 400201,17-Nov,1130,904,,,35.32059,138.86873
3,1127,Road House 400201,17-Dec,2106,1684.8,,,35.32059,138.86873
3,1127,Road House 400201,18-Jan,8289,6631.2,,,35.32059,138.86873
3,1127,Road House 400201,18-Feb,1592.55,1274.05,,,35.32059,138.86873
3,1127,Road House 400201,18-Mar,1657,1325.6,,,35.32059,138.86873
3,1127,Road House 400201,18-Apr,10128.25,8102.6,,,35.32059,138.86873
3,1127,Road House 400201,18-May,6475,5180,,,35.32059,138.86873
3,1127,Road House 400201,18-Jun,1801.2,1440.95,,,35.32059,138.86873
3,1127,Road House 400201,18-Jul,8469.55,6775.65,,,35.32059,138.86873
3,1127,Road House 400201,18-Aug,6293.95,5035.15,,,35.32059,138.86873
4,1127,Road House 400201,18-Sep,3145,2516,54469.5,43575.6,35.32059,138.86873
4,1127,Road House 400201,18-Oct,2367,1893.6,,,35.32059,138.86873
4,1127,Road House 400201,18-Nov,3841.35,3073.1,,,35.32059,138.86873
4,1127,Road House 400201,18-Dec,6408,5126.4,,,35.32059,138.86873
