Service,Category,Region,Base,Location,Month,Year,Amount
Army,Revenue,Europe,Ansbach,Action Lanes,October,2019,59201.0
Army,Revenue,Europe,Ansbach,Action Lanes,November,2019,35460.0
Army,Revenue,Europe,Ansbach,Action Lanes,December,2019,46220.0
Army,Revenue,Europe,Ansbach,Action Lanes,January,2020,-3084.0
Army,Revenue,Europe,Ansbach,Action Lanes,February,2020,44116.0
Army,Revenue,Europe,Ansbach,Action Lanes,March,2020,37220.0
Army,Revenue,Europe,Ansbach,Action Lanes,April,2020,0.0
Army,Revenue,Europe,Ansbach,Action Lanes,May,2020,0.0
Army,Revenue,Europe,Ansbach,Action Lanes,June,2020,0.0
Army,Revenue,Europe,Ansbach,Action Lanes,July,2020,18656.0
Army,Revenue,Europe,Ansbach,Action Lanes,August,2020,7642.0
Army,Revenue,Europe,Ansbach,Action Lanes,September,2020,27383.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,October,2019,10875.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,November,2019,8793.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,December,2019,20853.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,January,2020,8978.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,February,2020,27714.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,March,2020,15558.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,April,2020,0.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,May,2020,0.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,June,2020,0.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,July,2020,-1045.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,August,2020,3922.0
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,September,2020,1990.0
Army,Revenue,Europe,Baumholder,Strikers,October,2019,60666.0
Army,Revenue,Europe,Baumholder,Strikers,November,2019,52445.0
Army,Revenue,Europe,Baumholder,Strikers,December,2019,50635.0
Army,Revenue,Europe,Baumholder,Strikers,January,2020,46799.0
Army,Revenue,Europe,Baumholder,Strikers,February,2020,44816.0
Army,Revenue,Europe,Baumholder,Strikers,March,2020,80374.0
Army,Revenue,Europe,Baumholder,Strikers,April,2020,0.0
Army,Revenue,Europe,Baumholder,Strikers,May,2020,0.0
Army,Revenue,Europe,Baumholder,Strikers,June,2020,3546.0
Army,Revenue,Europe,Baumholder,Strikers,July,2020,21368.0
Army,Revenue,Europe,Baumholder,Strikers,August,2020,52127.0
Army,Revenue,Europe,Baumholder,Strikers,September,2020,54648.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,October,2019,64164.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,November,2019,19047.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,December,2019,5760.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,January,2020,59663.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,February,2020,7420.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,March,2020,555.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,April,2020,0.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,May,2020,0.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,June,2020,0.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,July,2020,32460.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,August,2020,8915.0
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,September,2020,6246.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,October,2019,101409.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,November,2019,41015.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,December,2019,55535.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,January,2020,58685.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,February,2020,73312.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,March,2020,45411.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,April,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,May,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,June,2020,-2629.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,July,2020,79289.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,August,2020,55437.0
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,September,2020,34024.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,October,2019,10416.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,November,2019,11188.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,December,2019,9258.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,January,2020,19369.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,February,2020,10612.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,March,2020,9380.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,April,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,May,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,June,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,July,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,August,2020,-2050.0
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,September,2020,8250.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,October,2019,111185.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,November,2019,105485.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,December,2019,86789.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,January,2020,89181.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,February,2020,99798.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,March,2020,59248.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,April,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,May,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,June,2020,-5719.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,July,2020,69068.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,August,2020,37365.0
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,September,2020,15871.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,October,2019,20704.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,November,2019,8716.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,December,2019,3657.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,January,2020,8791.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,February,2020,12285.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,March,2020,14806.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,April,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,May,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,June,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,July,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,August,2020,0.0
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,September,2020,0.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,October,2019,47640.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,November,2019,51729.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,December,2019,57316.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,January,2020,32976.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,February,2020,37771.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,March,2020,51962.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,April,2020,0.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,May,2020,0.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,June,2020,0.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,July,2020,-6960.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,August,2020,34524.0
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,September,2020,63225.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,October,2019,180569.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,November,2019,104081.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,December,2019,87300.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,January,2020,109689.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,February,2020,125542.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,March,2020,91038.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,April,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,May,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,June,2020,105363.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,July,2020,110485.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,August,2020,138702.0
Army,Revenue,Europe,Kaiserslautern,Irish Pub,September,2020,166407.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,October,2019,31643.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,November,2019,18899.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,December,2019,16411.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,January,2020,8438.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,February,2020,19845.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,March,2020,13362.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,April,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,May,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,June,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,July,2020,5774.0
Army,Revenue,Europe,Kaiserslautern,Kazabra,August,2020,21237.0
