Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Month,Years_in_Storage,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130582,740,IBM SUREPOS 4852,2038,10/15/2010,6/14/2013,130582-41C8993,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130620,740,IBM SUREPOS 4852,2038,10/15/2010,9/19/2014,130620-41D3295,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,131727,740,IBM SUREPOS 4852,2038,10/15/2010,9/6/2013,131727-41D3169,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,332966,70,DIEBOLD ACM,9001,2/14/2003,4/22/2016,332966-R10620538267,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333096,60,IGT GAME KING CL IFACE 210,228,12/10/2004,1/4/2020,333096-1407533,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333104,60,IGT FENG SHUI 10C 25L .01,1283,12/10/2004,10/17/2019,333104-1407525,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333115,60,IGT GAME KING CL IFACE 210,228,8/3/2004,11/26/2019,333115-1384441,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333119,60,IGT GAME KING CL IFACE 210,228,8/3/2004,11/26/2019,333119-1384438,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333218,70,DIEBOLD ACM,9001,8/11/2004,10/11/2019,333218-R10620538913,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333419,70,ITC Smart Card Dispenser,1018,10/28/2003,10/11/2019,333419-23737,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333424,70,ITC Smart Card Dispenser,1018,12/5/2003,6/28/2013,333424-23707,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333913,60,IGT iGAME CARNIVAL MYS 243 01,580,11/9/2004,11/26/2019,333913-1406598,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334108,70,ITC Smart Card Dispenser,1018,1/2/2005,10/11/2019,334108-390431657,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334111,60,IGT GAME KING CL IFACE 210,228,1/13/2005,11/7/2019,334111-1406862,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334117,60,IGT GAME KING CL IFACE 210,228,1/13/2005,1/4/2020,334117-1406859,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334201,60,IGT iGAME CARNIVAL MYS 243 01,580,11/9/2004,10/17/2019,334201-1407531,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334208,60,IGT GAME KING CL IFACE 210,228,11/9/2004,1/16/2020,334208-1406849,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334239,60,IGT GAME KING CL IFACE 210,228,11/30/2004,11/8/2019,334239-1407524,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334249,70,ITC Smart Card Dispenser,1018,11/16/2004,2/9/2013,334249-390431655,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334551,60,NOV CF1+ ULT 10G,3109,7/16/2005,1/4/2020,334551-175941,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335208,60,NOV CF1+ ULT 10E,3103,1/10/2006,8/2/2018,335208-202819,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335451,60,NOV CF1+ ULT 10F,3106,5/20/2006,1/4/2020,335451-221225,,0,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335470,70,DIEBOLD ACM,9001,8/24/2006,3/13/2007,335470-R106205-38698,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333159,70,DIEBOLD ACM,9001,10/30/2003,10/30/2003,333159-R106205-38192,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333167,70,ITC Smart Card Dispenser,1018,8/31/2004,4/22/2016,333167-26962,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333503,60,IGT iGAME CARNIVAL MYS 243 01,580,9/7/2004,9/5/2019,333503-1384084,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333504,60,IGT LION DANCE 40L 6C .01,1281,9/7/2004,3/2/2017,333504-1384085,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333506,60,IGT GAME KING CL IFACE 200,295,9/7/2004,9/5/2019,333506-1384087,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333508,60,IGT NEFERTITI 25L 10C .01,841,9/7/2004,2/15/2018,333508-1385085,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333511,60,IGT CATS 30L 8C .01,1590,9/7/2004,12/8/2017,333511-1385088,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333512,60,IGT iGAME AZTEC TEMPLE 243 01,579,9/7/2004,9/5/2019,333512-1385089,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333513,60,IGT CLEOPATRA II 20L 10C .01,1280,9/7/2004,4/17/2019,333513-1385090,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333514,60,IGT PRINCESS OF PARADISE,1598,9/7/2004,6/13/2018,333514-1385091,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333517,60,IGT GAME KING CL IFACE 210,228,9/7/2004,4/17/2019,333517-1385094,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333519,60,IGT iGAME COYOTE MOON 40L5C 01,683,9/7/2004,12/8/2017,333519-1385096,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333520,60,IGT NEFERTITI 25L 10C .01,841,9/7/2004,12/8/2017,333520-1385097,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333522,60,IGT SOARING WINGS 15L 15C .01,1593,9/7/2004,3/14/2018,333522-1385099,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333523,60,IGT HOUSE OF THE DEAD 25L 10C,794,9/7/2004,12/8/2017,333523-1385100,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333524,60,IGT DAVINCI DMNDS 20L 10C .01,1293,9/7/2004,12/8/2017,333524-1385101,,0,,0
