Loc,Place,Region,Service,Asset,SerialNum,Type,Desc,Acquire,Effective,Disposed,Class,MFG,LNAME,FONUM,FOSHORT,Cat,Year,Age,ReportDate,Month
194,Floor,Europe,Army,337961,337961-B170503048,3617,BAL WAVE ULT FE OLVERA ST MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337198,337198-XAR671628,1371,AIN/A560 MULTI WIN2 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,IRISH PUB,2,KAISERSLAUTERN,2016,,,,
194,Floor,Europe,Army,337199,337199-XAR671629,1373,AIN A560 MULTI WIN4 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,IRISH PUB,2,KAISERSLAUTERN,2016,,,,
194,Floor,Europe,Army,337200,337200-XAR671630,1375,AIN/A560 MULTI WIN5 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,IRISH PUB,2,KAISERSLAUTERN,2016,,,,
194,Floor,Europe,Army,337201,337201-XAR671631,1377,AIN/A560 MULTI WIN13 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,IRISH PUB,2,KAISERSLAUTERN,2016,,,,
194,Floor,Europe,Army,337877,337877-735489,3092,NOV CONCURVE ED 4,10/13/2017,2/23/2018,9/9/9999,60,NOV,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337878,337878-735490,3092,NOV CONCURVE ED 4,10/13/2017,1/12/2018,9/9/9999,60,NOV,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337886,337886-2241157,1930,IGT AXXIS 23/23 HD8,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337887,337887-2367939,1933,IGT AXXIS 23/23 HD8.1,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337888,337888-2384713,1966,IGT CRYSTAL D - MULTI SET 003,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337131,337131-166892,4017,NOV NOVOSTAR 5ST MULTI-DENOM,9/14/2016,9/23/2016,9/9/9999,60,NOV,IRISH PUB,2,KAISERSLAUTERN,2016,,,,
194,Floor,Europe,Army,337890,337890-2384752,1967,IGT CRYSTAL D - MULTI SET 007,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337994,337994-146268,3509,KON CONC SELEXION MULTI 10,3/20/2019,5/4/2019,9/9/9999,60,KON,IRISH PUB,2,KAISERSLAUTERN,2019,,,,
194,Floor,Europe,Army,337962,337962-B170503049,3616,BAL WAVE ULT FE CHINA ST MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337963,337963-B170503050,3614,BAL WAVE ULT FE BY THE BAY MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337964,337964-B170503058,3619,BAL WAVE ULT FE ROUTE 66 MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337972,337972-2384753,1967,IGT CRYSTAL D - MULTI SET 007,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,337976,337976-2421865,1957,IGT Curve Wild Fury Jackpots,11/1/2018,7/12/2019,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2018,,,,
194,Floor,Europe,Army,337977,337977-142048,3502,KON CONC SELEXION 3,10/31/2018,4/20/2019,9/9/9999,60,KON,IRISH PUB,2,KAISERSLAUTERN,2018,,,,
194,Floor,Europe,Army,337980,337980-142051,3503,KON CONC SELEXION 4,10/31/2018,4/20/2019,9/9/9999,60,KON,IRISH PUB,2,KAISERSLAUTERN,2018,,,,
194,Floor,Europe,Army,337998,337998-146272,3512,KON CONC SELEXION MULTI 13,3/20/2019,5/4/2019,9/9/9999,60,KON,IRISH PUB,2,KAISERSLAUTERN,2019,,,,
194,Floor,Europe,Army,338122,338122-5130264,3652,BAL J43 DOUBLE BLESSINGS MLP,5/15/2019,7/26/2019,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2019,,,,
194,Floor,Europe,Army,130625,130625-41D0035,2038,IBM SUREPOS 4852,10/15/2010,12/24/2010,9/9/9999,740,IBM,IRISH PUB,2,KAISERSLAUTERN,2010,,,,
194,Floor,Europe,Army,337889,337889-2384714,1966,IGT CRYSTAL D - MULTI SET 003,12/7/2017,2/23/2018,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2017,,,,
194,Floor,Europe,Army,333066,333066-R10620538926,9001,DIEBOLD ACM,8/21/2003,12/10/2005,9/9/9999,70,DIE,IRISH PUB,2,KAISERSLAUTERN,2003,,,,
194,Floor,Europe,Army,338119,338119-5130261,3655,BAL J43 DANCING DRUMS MLP,5/15/2019,7/26/2019,9/9/9999,60,BAL,IRISH PUB,2,KAISERSLAUTERN,2019,,,,
194,Floor,Europe,Army,336343,336343-657832,3084,NOV DOM PREMIUM ED 3,4/10/2015,8/24/2018,9/9/9999,60,NOV,IRISH PUB,2,KAISERSLAUTERN,2015,,,,
194,Floor,Europe,Army,333083,333083-26963,1018,ITC Smart Card Dispenser,8/21/2004,4/12/2005,9/9/9999,70,ITC,IRISH PUB,2,KAISERSLAUTERN,2004,,,,
194,Floor,Europe,Army,333092,333092-1406879,1283,IGT FENG SHUI 10C 25L .01,12/2/2004,1/29/2005,9/9/9999,60,IGT,IRISH PUB,2,KAISERSLAUTERN,2004,,,,
194,Floor,Europe,Army,333425,333425-23708,1018,ITC Smart Card Dispenser,12/5/2003,2/19/2004,9/9/9999,70,ITC,IRISH PUB,2,KAISERSLAUTERN,2003,,,,
