Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Age,Years_in_Storage,Month,Age_int,Years_in_Storage_float,Years_in_Storage_int,BaseName_match,match_score,match_country,Latitude,Longitude
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333945,60,IGT GAME KING CL IFACE 210,228,8/31/2004,10/23/2020,333945-1384432,16,0.0,October 2020,16,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334117,60,IGT GAME KING CL IFACE 210,228,1/13/2005,1/4/2020,334117-1406859,15,0.0,October 2020,15,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335463,60,NOV CF1+ ULT 10G,3109,5/20/2006,10/23/2020,335463-221237,14,0.0,October 2020,14,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335464,60,NOV CF1+ ULT 10D,3100,5/20/2006,10/23/2020,335464-221238,14,0.0,October 2020,14,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335590,60,NOV CF1+ ULT 10H,3116,8/17/2007,10/23/2020,335590-285096,13,0.0,October 2020,13,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335974,60,WMS BLADE MULTI CHEST 6,1869,10/8/2014,9/24/2020,335974-5070474,6,0.0,October 2020,6,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336021,60,WMS BBII MULTI GAME CHEST 1,1837,10/16/2008,9/24/2020,336021-W2204509,12,0.0,October 2020,12,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337192,60,WMS BLADE MULTI CHEST 6,1869,11/15/2016,9/24/2020,337192-5102871,3,0.0,October 2020,3,0.0,0,Kaiserlautern,0.9629629629629629,Germany,49.440066,7.749126
Europe,4,VICENZA,333,VICENZA F. O.,336120,60,WMS BBII MULTI GAME CHEST 6,1842,10/17/2008,11/21/2019,336120-W2204511,12,0.0,October 2020,12,0.0,0,Vicenza,1.0,Italy,45.545479,11.535421
Europe,4,VICENZA,333,VICENZA F. O.,337267,60,BAL J43 JIN JI BAO XI E/T MLP,3679,10/2/2020,10/2/2020,337267-5169854,0,0.0,October 2020,0,0.0,0,Vicenza,1.0,Italy,45.545479,11.535421
Europe,4,VICENZA,333,VICENZA F. O.,337268,60,BAL J43 JIN JI BAO XI E/T MLP,3679,10/2/2020,10/2/2020,337268-5169772,0,0.0,October 2020,0,0.0,0,Vicenza,1.0,Italy,45.545479,11.535421
Korea,20,SEOUL,841,SEOUL FO,335836,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/15/2008,12/19/2019,335836-346849,12,0.0,October 2020,12,0.0,0,Seoul,1.0,South Korea,37.566535,126.97797
Korea,20,SEOUL,841,SEOUL FO,335840,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,12/19/2019,335840-346835,12,0.0,October 2020,12,0.0,0,Seoul,1.0,South Korea,37.566535,126.97797
Korea,20,SEOUL,841,SEOUL FO,337056,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,3/5/2020,337056-129797,3,0.0,October 2020,3,0.0,0,Seoul,1.0,South Korea,37.566535,126.97797
Korea,23,UIJEONGBU,843,UIJONGBU FO,333972,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/9/2004,3/2/2020,333972-1407799,16,0.0,October 2020,16,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
Korea,23,UIJEONGBU,843,UIJONGBU FO,334033,60,IGT iGAME CARNIVAL MYS 243 01,580,10/5/2004,3/2/2020,334033-1406068,16,0.0,October 2020,16,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
Korea,23,UIJEONGBU,843,UIJONGBU FO,334071,60,IGT iGAME CARNIVAL MYS 243 01,580,10/9/2004,1/16/2020,334071-1406587,16,0.0,October 2020,16,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
Korea,23,UIJEONGBU,843,UIJONGBU FO,334159,60,IGT iGAME AZTEC TEMPLE 243 01,579,11/2/2004,1/16/2020,334159-1407114,15,0.0,October 2020,15,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
Korea,23,UIJEONGBU,843,UIJONGBU FO,335810,60,NOV DOM PREMIUM ED 3,3084,3/8/2014,10/2/2020,335810-618380,6,0.0,October 2020,6,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
Korea,23,UIJEONGBU,843,UIJONGBU FO,335841,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,2/21/2020,335841-346822,12,0.0,October 2020,12,0.0,0,Uijong Bu,0.8888888888888888,South Korea,37.738098,127.03368
