Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,170.0,11.0,13.0,7.0,201.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,119.0,8.0,9.0,5.0,141.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,96.0,6.0,5.0,3.0,110.0,October 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,773.0,49.0,56.0,33.0,911.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,3.0,6.0,3.0,83.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,147.0,8.0,9.0,8.0,172.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,340.0,18.0,24.0,13.0,395.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,61.0,3.0,4.0,2.0,70.0,October 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,748.0,39.0,57.0,33.0,877.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,107.0,4.0,5.0,2.0,118.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,124.0,6.0,10.0,4.0,144.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,138.0,6.0,7.0,4.0,155.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,442.0,20.0,25.0,13.0,500.0,October 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1963.0,108.0,138.0,79.0,2288.0,October 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,2 KAISERSLAUTERN,,170.0,11.0,13.0,7.0,201.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,46 VILSECK,,119.0,8.0,9.0,5.0,141.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,47 WIESBADEN,,96.0,6.0,5.0,3.0,110.0,November 2020
Europe                                                                      Slots   ACM/CountR                 ITC           FRS           Total,Europe Total,,773.0,49.0,56.0,33.0,911.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,19 SASEBO,,71.0,3.0,6.0,3.0,83.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,26 OKINAWA,,338.0,18.0,24.0,13.0,393.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,27 IWAKUNI,,61.0,3.0,4.0,2.0,70.0,November 2020
Japan                                                                       Slots   ACM/CountR                 ITC           FRS           Total,Japan Total,,718.0,39.0,58.0,32.0,847.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,20 SEOUL,,107.0,4.0,5.0,2.0,118.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,21 DAEGU,,124.0,6.0,10.0,4.0,144.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,24 PYONGTAEK,,138.0,6.0,7.0,4.0,155.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,Korea Total,,442.0,20.0,25.0,13.0,500.0,November 2020
Korea                                                                       Slots   ACM/CountR                 ITC           FRS           Total,ARMP Total,,1933.0,108.0,139.0,78.0,2258.0,November 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,170.0,11.0,13.0,7.0,201.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,119.0,8.0,9.0,5.0,141.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,96.0,6.0,5.0,3.0,110.0,December 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,773.0,49.0,56.0,33.0,911.0,December 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,December 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,December 2020
