REGION,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Aquire,Effective,SerialNum,PLACE,Age,Years in Storage,Months,Month
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337977,60,KON CONC SELEXION MULTI 7,3506,10/31/2018,5/9/2021,337977-142048,Store,3,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336290,60,BAL V22/22 AMERICAN ORIGINAL,3229,2/10/2016,10/2/2021,336290-B150734287,Store,5,,2.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336299,60,AIN A560 MULTI WIN5 (SAP-MJP),1375,1/31/2017,10/2/2021,336299-XAR671638,Store,4,,2.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336300,60,AIN A560 MULTI WIN5 (SAP-MJP),1375,1/31/2017,10/2/2021,336300-XAR671639,Store,4,,2.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336336,60,BAL PRO CURVE QHBG (MLP),3216,3/6/2015,5/9/2021,336336-B141219198,Store,6,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336341,60,NOV DOMINATOR IMPERA HD5/$4.00,3083,4/10/2015,5/9/2021,336341-657830,Store,6,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337293,60,BAL PRO CURVE QHTB7'S (MLP),3211,12/6/2017,10/2/2021,337293-B170503014,Store,3,,2.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337877,60,NOV CONCURVE ED 4,3092,10/13/2017,7/28/2021,337877-735489,Store,4,,5.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337980,60,KON CONC SELEXION 4,3503,10/31/2018,5/9/2021,337980-142051,Store,3,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130620,740,IBM SUREPOS 4852,2038,10/15/2010,5/5/2021,130620-41D3295,Store,11,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336035,60,WMS BBII MULTI GAME CHEST 5,1841,7/30/2009,1/15/2021,336035-W2228394,Store,12,,11.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337878,60,NOV CONCURVE ED 4,3092,10/13/2017,5/9/2021,337878-735490,Store,4,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333896,60,IGT GAME KING CL IFACE 210,228,11/9/2004,5/9/2021,333896-1406883,Store,17,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333419,70,ITC Smart Card Dispenser,1018,10/28/2003,10/11/2019,333419-23737,Store,18,2.0,10,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130582,740,IBM SUREPOS 4852,2038,10/15/2010,6/14/2013,130582-41C8993,Store,11,8.0,11,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336016,60,WMS BBII MULTI GAME CHEST 6,1842,10/16/2008,1/15/2021,336016-W2204501,Store,13,,11.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333889,60,IGT iGAME AZTEC TEMPLE 243 01,579,11/9/2004,5/9/2021,333889-1406874,Store,17,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334108,70,ITC Smart Card Dispenser,1018,1/2/2005,10/11/2019,334108-390431657,Store,16,2.0,14,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334117,60,IGT GAME KING CL IFACE 210,228,1/13/2005,1/4/2020,334117-1406859,Store,16,1.0,15,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335470,70,DIEBOLD ACM,9001,8/24/2006,3/13/2007,335470-R106205-38698,Store,15,14.0,16,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335969,60,BAL V22/22 QHW BLUE 600MAX MLP,3253,9/11/2014,5/9/2021,335969-B140299895,Store,7,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335977,60,NOV DOM PREMIUM ED 3,3084,10/30/2014,5/9/2021,335977-647798,Store,7,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335989,60,NOV DOM PREMIUM ED 3,3084,10/30/2014,5/9/2021,335989-647817,Store,7,,7.0,Nov-21
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333092,60,IGT FENG SHUI 10C 25L .01,1283,12/2/2004,5/9/2021,333092-1406879,Store,16,,7.0,Nov-21
Europe,4,VICENZA,333,VICENZA F. O.,131727,740,IBM SUREPOS 4852,2038,10/15/2010,4/20/2021,131727-41D3169,Store,11,,8.0,Nov-21
Europe,4,VICENZA,333,VICENZA F. O.,334367,60,NOV PREM V+ 6ST MULTI-DENOM,4011,10/15/2008,10/2/2021,334367-345237,Store,13,,2.0,Nov-21
Europe,4,VICENZA,333,VICENZA F. O.,333167,70,ITC Smart Card Dispenser,1018,8/31/2004,4/22/2016,333167-26962,Store,17,5.0,23,Nov-21
Europe,4,VICENZA,333,VICENZA F. O.,130634,740,IBM SUREPOS 4852,2038,10/15/2010,3/4/2021,130634-41D2752,Store,11,,9.0,Nov-21
