Region,FO#,FOSHORT,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe,2,KAISERSLAUTERN,163,12,13,7,195,Nov-21
Europe,4,VICENZA,73,5,5,3,86,Nov-21
Europe,10,GARMISCH,23,2,2,1,28,Nov-21
Europe,31,ANSBACH,36,2,4,2,44,Nov-21
Europe,39,SOUDA BAY,24,2,2,1,29,Nov-21
Europe,40,SIGONELLA,40,3,3,2,48,Nov-21
Europe,42,NAPLES,47,2,4,2,55,Nov-21
Europe,43,ROTA,57,4,5,4,70,Nov-21
Europe,45,STUTTGART,88,4,4,3,99,Nov-21
Europe,46,VILSECK,103,7,7,4,121,Nov-21
Europe,47,WIESBADEN,88,5,4,3,100,Nov-21
Europe,,Europe Total,742,48,53,32,875,Nov-21
Europe,,%,39%,45%,38%,40%,39%,Nov-21
Japan,17,SINGAPORE,15,1,2,1,19,Nov-21
Japan,18,YOKOSUKA,114,6,12,6,138,Nov-21
Japan,19,SASEBO,71,3,6,3,83,Nov-21
Japan,22,ZAMA,144,8,10,8,170,Nov-21
Japan,26,OKINAWA,341,18,24,13,396,Nov-21
Japan,27,IWAKUNI,68,3,4,2,77,Nov-21
Japan,,Japan Total,753,39,58,33,883,Nov-21
Japan,,%,39%,36%,42%,41%,39%,Nov-21
Korea,20,SEOUL,88,3,5,2,98,Nov-21
Korea,21,DAEGU,137,6,12,6,161,Nov-21
Korea,23,UIJEONGBU,73,5,3,3,84,Nov-21
Korea,24,PYONGTAEK,133,6,7,4,150,Nov-21
Korea,,Korea Total,431,20,27,15,493,Nov-21
Korea,,%,22%,19%,20%,19%,22%,Nov-21
ARMP,,ARMP Total,1926,107,138,80,2251,Nov-21
Europe,2,KAISERSLAUTERN,163,12,13,7,195,Dec-21
Europe,4,VICENZA,73,5,5,3,86,Dec-21
Europe,10,GARMISCH,23,2,2,1,28,Dec-21
Europe,31,ANSBACH,36,2,4,2,44,Dec-21
Europe,39,SOUDA BAY,24,2,2,1,29,Dec-21
Europe,40,SIGONELLA,40,3,3,2,48,Dec-21
Europe,42,NAPLES,47,2,4,2,55,Dec-21
Europe,43,ROTA,57,4,5,4,70,Dec-21
Europe,45,STUTTGART,88,4,4,3,99,Dec-21
Europe,46,VILSECK,105,7,7,4,123,Dec-21
Europe,47,WIESBADEN,88,5,4,3,100,Dec-21
Europe,,Europe Total,744,48,53,32,877,Dec-21
Europe,,%,39%,45%,38%,40%,39%,Dec-21
Japan,17,SINGAPORE,15,1,2,1,19,Dec-21
Japan,18,YOKOSUKA,114,6,12,6,138,Dec-21
Japan,19,SASEBO,71,3,6,3,83,Dec-21
Japan,22,ZAMA,144,8,10,8,170,Dec-21
Japan,26,OKINAWA,341,18,24,13,396,Dec-21
Japan,27,IWAKUNI,68,3,4,2,77,Dec-21
Japan,,Japan Total,753,39,58,33,883,Dec-21
