Region,#Location,Army,Navy,Marine_Corps,Airforce,Total,Percent,Month
Europe,33,574,168,,,742,38.5,Nov-21
Japan,34,66,291,381,,738,38.3,Nov-21
Korea,16,420,26,,,446,23.2,Nov-21
Total,83,1060,485,381,,1926,,Nov-21
% by Service,,55.0%,25.2%,19.8%,0.0%,,,Nov-21
Locations by Service,,44,25,14,0,83,,Nov-21
Europe,33,576,168,,,744,38.7,Dec-21
Japan,34,66,291,381,,738,38.4,Dec-21
Korea,16,416,26,,,442,23.0,Dec-21
Total,83,1058,485,381,,1924,,Dec-21
% by Service,,55.0%,25.2%,19.8%,0.0%,,,Dec-21
Locations by Service,,44,25,14,0,83,,Dec-21
Europe,35,576,172,,,748,38.8,Jan-22
Japan,34,66,291,381,,738,38.3,Jan-22
Korea,16,416,26,,,442,22.9,Jan-22
Total,85,1058,489,381,,1928,,Jan-22
% by Service,,54.9%,25.4%,19.8%,0.0%,,,Jan-22
Locations by Service,,46,25,14,0,85,,Jan-22
Europe,35,576,172,,,748,38.9,Feb-22
Japan,34,66,291,381,,738,38.3,Feb-22
Korea,16,413,26,,,439,22.8,Feb-22
Total,85,1055,489,381,,1925,,Feb-22
% by Service,,54.8%,25.4%,19.8%,0.0%,,,Feb-22
Locations by Service,,46,25,14,0,85,,Feb-22
Europe,35,585,172,,,757,39.3,Mar-22
Japan,34,66,291,381,,738,38.3,Mar-22
Korea,16,406,26,,,432,22.4,Mar-22
Total,85,1057,489,381,,1927,,Mar-22
% by Service,,54.9%,25.4%,19.8%,0.0%,,,Mar-22
Locations by Service,,46,25,14,0,85,,Mar-22
Europe,35,584,164,,,748,38.9,Apr-22
Japan,34,70,291,381,,742,38.6,Apr-22
Korea,16,406,26,,,432,22.5,Apr-22
Total,85,1060,481,381,,1922,,Apr-22
% by Service,,55.2%,25.0%,19.8%,0.0%,,,Apr-22
Locations by Service,,46,25,14,0,85,,Apr-22
Europe,35,585,164,,,749,38.9,Jun-22
Japan,34,72,289,381,,742,38.6,Jun-22
Korea,16,406,26,,,432,22.5,Jun-22
Total,85,1063,479,381,,1923,,Jun-22
% by Service,,55.3%,24.9%,19.8%,0.0%,,,Jun-22
Locations by Service,,46,25,14,0,85,,Jun-22
Europe,35,584,164,,,748,39.0,Jul-22
Japan,34,72,289,381,,742,38.7,Jul-22
Korea,16,406,21,,,427,22.3,Jul-22
Total,85,1062,474,381,,1917,,Jul-22
% by Service,,55.4%,24.7%,19.9%,0.0%,,,Jul-22
Locations by Service,,46,25,14,0,85,,Jul-22
Europe,35,576,164,,,740,39.1,Aug-22
Japan,34,72,289,367,,728,38.4,Aug-22
Korea,16,406,21,,,427,22.5,Aug-22
Total,85,1054,474,367,,1895,,Aug-22
% by Service,,55.6%,25.0%,19.4%,0.0%,,,Aug-22
Locations by Service,,46,25,14,0,85,,Aug-22
Europe,35,576,164,,,740,39.1,Sep-22
Japan,34,72,289,367,,728,38.4,Sep-22
Korea,16,406,21,,,427,22.5,Sep-22
Total,85,1054,474,367,,1895,,Sep-22
% by Service,,55.6%,25.0%,19.4%,0.0%,,,Sep-22
Locations by Service,,46,25,14,0,85,,Sep-22
