Loc,Place,Region,SVC,Asset,SerialNum,Type,Desc,Acquire,Effective,Disposed,Class,MFG,LNAME,FONUM,FOSHORT,Cat,Year,Age,Month
194,Floor,Europe,Army,337962,337962-B170503049,3616,BAL WAVE ULT FE CHINA ST MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337201,337201-XAR671631,1377,AIN/A560 MULTI WIN13 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2016,4,Nov-21
194,Floor,Europe,Army,337557,337557-B121067380,3487,BAL V22/32 TWIN FIRE MLP,11/18/2017,3/9/2021,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337558,337558-B120658404,3487,BAL V22/32 TWIN FIRE MLP,11/18/2017,3/9/2021,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337559,337559-B120555511,3487,BAL V22/32 TWIN FIRE MLP,11/18/2017,3/9/2021,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337886,337886-2241157,1930,IGT AXXIS 23/23 HD8,12/7/2017,2/23/2018,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,3,Nov-21
194,Floor,Europe,Army,337887,337887-2367939,1933,IGT AXXIS 23/23 HD8.1,12/7/2017,2/23/2018,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,3,Nov-21
194,Floor,Europe,Army,338122,338122-5130264,3652,BAL J43 DOUBLE BLESSINGS MLP,5/15/2019,7/26/2019,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2019,2,Nov-21
194,Floor,Europe,Army,337200,337200-XAR671630,1375,AIN/A560 MULTI WIN5 (SAP-MJP),11/30/2016,1/27/2017,9/9/9999,60,AIN,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2016,4,Nov-21
194,Floor,Europe,Army,337961,337961-B170503048,3617,BAL WAVE ULT FE OLVERA ST MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337888,337888-2384713,1966,IGT CRYSTAL D - MULTI SET 003,12/7/2017,2/23/2018,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,3,Nov-21
194,Floor,Europe,Army,337963,337963-B170503050,3614,BAL WAVE ULT FE BY THE BAY MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
194,Floor,Europe,Army,337964,337964-B170503058,3619,BAL WAVE ULT FE ROUTE 66 MLP,11/15/2017,2/16/2018,9/9/9999,60,BAL,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2017,4,Nov-21
