region,group_location,site_name,FO #,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,ACM,ITC,Total,Month
Europe,KAISERSLAUTERN,ARMSTRONG'S,2.0,194.0,Army,11.0,4.0,7.0,,11.0,2.0,,35.0,1.0,2.0,2.0,40,Nov-21
Europe,KAISERSLAUTERN,LCCC,2.0,195.0,Army,10.0,3.0,5.0,,10.0,2.0,,30.0,1.0,2.0,2.0,35,Nov-21
Europe,KAISERSLAUTERN,KAZABRA,2.0,196.0,Army,6.0,,4.0,,,2.0,,12.0,1.0,1.0,2.0,16,Nov-21
Europe,KAISERSLAUTERN,STRIKERS,2.0,218.0,Army,9.0,4.0,7.0,2.0,8.0,3.0,,33.0,1.0,2.0,2.0,38,Nov-21
Europe,KAISERSLAUTERN,GOLD MINE,2.0,1038.0,Army,9.0,4.0,3.0,3.0,3.0,,,22.0,1.0,2.0,2.0,27,Nov-21
Europe,KAISERSLAUTERN,ROB JAVA CAFE,2.0,2887.0,Army,6.0,,3.0,1.0,1.0,1.0,,12.0,1.0,1.0,1.0,15,Nov-21
Europe,KAISERSLAUTERN,SEMBACH C/C,2.0,3072.0,Army,7.0,,2.0,,7.0,3.0,,19.0,1.0,2.0,2.0,24,Nov-21
Europe,KAISERSLAUTERN,EDO_CARD_LAB,2.0,3170.0,Army,,,,,,,,,,,,0,Nov-21
Europe,KAISERSLAUTERN,Subtotal,,,,58.0,15.0,31.0,6.0,40.0,13.0,,163.0,7.0,12.0,13.0,195,Nov-21
Europe,VICENZA,LIVORNO C/C,4.0,330.0,Army,3.0,3.0,,4.0,3.0,,3.0,16.0,1.0,2.0,2.0,21,Nov-21
Europe,VICENZA,ARENA B/C,4.0,2895.0,Army,12.0,5.0,7.0,3.0,10.0,4.0,,41.0,1.0,2.0,2.0,46,Nov-21
Europe,VICENZA,DEL DIN C/C,4.0,3132.0,Army,3.0,,5.0,1.0,7.0,,,16.0,1.0,1.0,1.0,19,Nov-21
Europe,VICENZA,Subtotal,,,,18.0,8.0,12.0,8.0,20.0,4.0,3.0,73.0,3.0,5.0,5.0,86,Nov-21
Europe,GARMISCH,EDELWEISS,10.0,2489.0,Army,4.0,4.0,4.0,,8.0,,3.0,23.0,1.0,2.0,2.0,28,Nov-21
Europe,GARMISCH,Subtotal,,,,4.0,4.0,4.0,,8.0,,3.0,23.0,1.0,2.0,2.0,28,Nov-21
Europe,ANSBACH,ACTION LANES,31.0,437.0,Army,6.0,,2.0,2.0,8.0,2.0,,20.0,1.0,1.0,2.0,24,Nov-21
Europe,ANSBACH,STORCK BRK B/C,31.0,438.0,Army,6.0,,3.0,1.0,4.0,2.0,,16.0,1.0,1.0,2.0,20,Nov-21
Europe,ANSBACH,Subtotal,,,,12.0,,5.0,3.0,12.0,4.0,,36.0,2.0,2.0,4.0,44,Nov-21
Europe,SOUDA BAY,GRAFFITI'S,39.0,2618.0,Navy,21.0,,3.0,,,,,24.0,1.0,2.0,2.0,29,Nov-21
Europe,SOUDA BAY,Subtotal,,,,21.0,,3.0,,,,,24.0,1.0,2.0,2.0,29,Nov-21
Europe,SIGONELLA,SIG B/C,40.0,2595.0,Navy,7.0,2.0,5.0,3.0,4.0,,,21.0,1.0,1.0,1.0,24,Nov-21
Europe,SIGONELLA,JOX SPORTS BAR,40.0,2597.0,Navy,10.0,2.0,2.0,2.0,3.0,,,19.0,1.0,2.0,2.0,24,Nov-21
Europe,SIGONELLA,Subtotal,,,,17.0,4.0,7.0,5.0,7.0,,,40.0,2.0,3.0,3.0,48,Nov-21
Europe,NAPLES,CAPO OLDE TOWN,42.0,2588.0,Navy,9.0,,6.0,1.0,4.0,2.0,,22.0,1.0,1.0,2.0,26,Nov-21
Europe,NAPLES,NAPLES B/C,42.0,2591.0,Navy,5.0,1.0,3.0,2.0,9.0,5.0,,25.0,1.0,1.0,2.0,29,Nov-21
Europe,NAPLES,Subtotal,,,,14.0,1.0,9.0,3.0,13.0,7.0,,47.0,2.0,2.0,4.0,55,Nov-21
Europe,ROTA,LA PLAZA,43.0,2600.0,Navy,13.0,4.0,2.0,,6.0,4.0,,29.0,1.0,1.0,2.0,33,Nov-21
Europe,ROTA,PINZ,43.0,2601.0,Navy,3.0,,3.0,1.0,5.0,1.0,,13.0,1.0,1.0,1.0,16,Nov-21
Europe,ROTA,ROTA FLEET CTR,43.0,2605.0,Navy,2.0,,2.0,1.0,,,,5.0,1.0,1.0,1.0,8,Nov-21
Europe,ROTA,NGIS ROTA,43.0,2890.0,Navy,4.0,,3.0,,2.0,1.0,,10.0,1.0,1.0,1.0,13,Nov-21
Europe,ROTA,Subtotal,,,,22.0,4.0,10.0,2.0,13.0,6.0,,57.0,4.0,4.0,5.0,70,Nov-21
Europe,STUTTGART,PATCH C/C,45.0,256.0,Army,15.0,3.0,8.0,3.0,14.0,5.0,,48.0,1.0,2.0,2.0,53,Nov-21
Europe,STUTTGART,KELLY C/C,45.0,280.0,Army,10.0,,3.0,1.0,4.0,1.0,,19.0,1.0,1.0,1.0,22,Nov-21
Europe,STUTTGART,GALAXY B/C,45.0,298.0,Army,6.0,2.0,3.0,1.0,7.0,2.0,,21.0,1.0,1.0,1.0,24,Nov-21
Europe,STUTTGART,Subtotal,,,,31.0,5.0,14.0,5.0,25.0,8.0,,88.0,3.0,4.0,4.0,99,Nov-21
Europe,VILSECK,GRAF E/C,46.0,413.0,Army,15.0,4.0,5.0,4.0,6.0,2.0,,36.0,1.0,2.0,2.0,41,Nov-21
Europe,VILSECK,HOHENFELS B/C,46.0,415.0,Army,4.0,4.0,6.0,,4.0,,,18.0,1.0,2.0,2.0,23,Nov-21
Europe,VILSECK,VILSECK B/C,46.0,417.0,Army,7.0,,,2.0,4.0,,,13.0,1.0,1.0,1.0,16,Nov-21
Europe,VILSECK,LANGENBRUCK,46.0,1858.0,Army,13.0,4.0,4.0,,15.0,,,36.0,1.0,2.0,2.0,41,Nov-21
Europe,VILSECK,ALGIER R/C,46.0,3145.0,Army,,,,,,,,,,,,0,Nov-21
Europe,VILSECK,Subtotal,,,,39.0,12.0,15.0,6.0,29.0,2.0,,103.0,4.0,7.0,7.0,121,Nov-21
Europe,WIESBADEN,THE VAULT,47.0,1669.0,Army,10.0,4.0,5.0,,11.0,2.0,,32.0,1.0,2.0,2.0,37,Nov-21
Europe,WIESBADEN,LIBERTY GAMES,47.0,1881.0,Army,7.0,,7.0,,5.0,1.0,,20.0,1.0,1.0,1.0,23,Nov-21
Europe,WIESBADEN,WIESBADEN E/C,47.0,2976.0,Army,9.0,4.0,4.0,1.0,6.0,2.0,,26.0,,1.0,,27,Nov-21
Europe,WIESBADEN,ACE'S GAME RM,47.0,3108.0,Army,6.0,1.0,2.0,,,1.0,,10.0,1.0,1.0,1.0,13,Nov-21
Europe,WIESBADEN,Subtotal,,,,32.0,9.0,18.0,1.0,22.0,6.0,,88.0,3.0,5.0,4.0,100,Nov-21
Japan,YOKOSUKA,YOKOSUKA B/C,18.0,3146.0,Navy,8.0,4.0,3.0,,6.0,1.0,,22.0,1.0,1.0,2.0,26,Nov-21
Japan,YOKOSUKA,CLUB ALLIANCE,18.0,3147.0,Navy,7.0,5.0,2.0,1.0,12.0,2.0,,29.0,1.0,1.0,2.0,33,Nov-21
Japan,YOKOSUKA,CPO CLUB,18.0,3148.0,Navy,7.0,,3.0,,1.0,1.0,,12.0,1.0,1.0,2.0,16,Nov-21
Japan,YOKOSUKA,TAKEMIYA CLUB,18.0,3149.0,Navy,3.0,,,1.0,1.0,1.0,,6.0,1.0,1.0,2.0,10,Nov-21
Japan,YOKOSUKA,OFFICERS CLUB,18.0,3150.0,Navy,6.0,,2.0,2.0,1.0,2.0,,13.0,1.0,1.0,2.0,17,Nov-21
Japan,YOKOSUKA,SEASIDE CLUB,18.0,3151.0,Navy,4.0,8.0,4.0,2.0,13.0,1.0,,32.0,1.0,1.0,2.0,36,Nov-21
Japan,YOKOSUKA,Subtotal,,,,35.0,17.0,14.0,6.0,34.0,8.0,,114.0,6.0,6.0,12.0,138,Nov-21
Japan,SASEBO,HARBOR VIEW,19.0,3096.0,Navy,7.0,6.0,3.0,5.0,5.0,1.0,,27.0,1.0,1.0,2.0,31,Nov-21
Japan,SASEBO,HARIO,19.0,3097.0,Navy,3.0,6.0,2.0,3.0,,1.0,,15.0,1.0,1.0,2.0,19,Nov-21
Japan,SASEBO,GALAXIES,19.0,3098.0,Navy,7.0,6.0,8.0,,5.0,3.0,,29.0,1.0,1.0,2.0,33,Nov-21
Japan,SASEBO,Subtotal,,,,17.0,18.0,13.0,8.0,10.0,5.0,,71.0,3.0,3.0,6.0,83,Nov-21
Japan,ZAMA,ZAMA C/C,22.0,883.0,Army,8.0,5.0,4.0,2.0,8.0,3.0,,30.0,1.0,1.0,1.0,33,Nov-21
Japan,ZAMA,SHA CLUB,22.0,885.0,Army,4.0,,1.0,2.0,,,,7.0,1.0,1.0,1.0,10,Nov-21
Japan,ZAMA,ZAMA B/C,22.0,886.0,Army,5.0,,,3.0,,,,8.0,1.0,1.0,1.0,11,Nov-21
Japan,ZAMA,ROAD HOUSE,22.0,1127.0,Marine Corps,7.0,,,,,,,7.0,1.0,1.0,1.0,10,Nov-21
Japan,ZAMA,SANNO HOTEL,22.0,2664.0,Navy,12.0,6.0,4.0,2.0,8.0,,,32.0,1.0,1.0,2.0,36,Nov-21
Japan,ZAMA,CORNER POCKET,22.0,3078.0,Navy,10.0,,2.0,2.0,3.0,,,17.0,1.0,1.0,1.0,20,Nov-21
Japan,ZAMA,CLUB TRILOGY,22.0,3079.0,Navy,10.0,6.0,2.0,2.0,8.0,,,28.0,1.0,1.0,2.0,32,Nov-21
Japan,ZAMA,ZAMA G/C,22.0,3165.0,Army,5.0,4.0,3.0,,3.0,,,15.0,1.0,1.0,1.0,18,Nov-21
Japan,ZAMA,Subtotal,,,,61.0,21.0,16.0,13.0,30.0,3.0,,144.0,8.0,8.0,10.0,170,Nov-21
Japan,OKINAWA,HAVANA'S,26.0,967.0,Army,2.0,,1.0,2.0,,1.0,,6.0,1.0,1.0,1.0,9,Nov-21
Japan,OKINAWA,HASHMARKS,26.0,1105.0,Marine Corps,6.0,,6.0,4.0,4.0,,,20.0,1.0,1.0,2.0,24,Nov-21
Japan,OKINAWA,COURTNEY B/C,26.0,1107.0,Marine Corps,3.0,,6.0,2.0,2.0,2.0,,15.0,1.0,1.0,2.0,19,Nov-21
