Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338351,60,KON CONC SELEXION 3,3502,10/13/2018,9/2/2023,338351-142044,5,October 2023,,,5
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337994,60,KON CONC SELEXION MULTI 10,3509,3/20/2019,8/10/2023,337994-146268,4,October 2023,,,4
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337995,60,KON CONC SELEXION MULTI 10,3509,3/20/2019,8/2/2023,337995-146269,14,October 2023,13,13,14
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337999,60,KON CONC SELEXION MULTI 13,3512,3/20/2019,8/2/2023,337999-146273,9,October 2023,9,9,9
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338120,60,BAL J43 DANCING DRUMS MLP,3655,5/15/2019,8/9/2023,338120-5130262,1,October 2023,1,1,1
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338121,60,BAL J43 DOUBLE BLESSINGS MLP,3652,5/15/2019,8/9/2023,338121-5130263,2,October 2023,4,4,2
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338133,60,BAL J43 JIN JI BAO XI E/T MLP,3679,9/3/2020,8/3/2023,338133-5169768,2,October 2023,2,2,2
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338130,60,BAL J43 JIN-JI BAO XI R/F MLP,3665,9/3/2020,8/3/2023,338130-5169767,18,October 2023,18,18,18
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337981,60,KON CONC SELEXION 4,3503,10/31/2018,3/30/2023,337981-142052,27,October 2023,3,3,27
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337980,60,KON CONC SELEXION 4,3503,10/31/2018,8/10/2023,337980-142051,66,October 2023,2,2,66
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337976,60,IGT CRYSTAL C - MULTI PACK 1,1978,11/1/2018,8/2/2023,337976-2421865,15,October 2023,15,15,15
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337885,60,KON CRES S/B/B VOLCANO BOUNTY,3545,10/19/2017,8/2/2023,337885-132633,50,October 2023,1,1,50
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337884,60,KON CRES S/B/B JUNGLE BOUNTY,3544,10/19/2017,8/2/2023,337884-132632,24,October 2023,1,1,24
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337883,60,KON CONC SELEXION MULTI 4,3503,10/17/2017,8/2/2023,337883-132651,10,October 2023,6,6,10
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338352,60,KON CONC SELEXION 4,3503,10/13/2018,9/2/2023,338352-142045,11,October 2023,5,5,11
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337563,60,IGT CRYSTAL/DUAL MULTI 702,1951,1/4/2018,9/9/2023,337563-2384739,12,October 2023,5,5,12
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,339928,70,M3T ACK,9008,2/23/2023,2/23/2023,339928-222091524,13,October 2023,0,0,13
