Region,#Locations,Army,Navy,Marine_Corps,Airforce,Total,Percent,Month
Europe,35.0,580.0,161.0,,,741.0,40.2,October 2023
Japan,34.0,59.0,291.0,346.0,,696.0,37.8,October 2023
Korea,16.0,381.0,23.0,,,404.0,21.9,October 2023
Total,85.0,1020.0,475.0,346.0,,1841.0,,October 2023
Europe,35.0,568.0,163.0,,,731.0,39.8,November 2023
Japan,34.0,64.0,286.0,346.0,,696.0,37.9,November 2023
Korea,16.0,385.0,23.0,,,408.0,22.2,November 2023
Total,85.0,1017.0,472.0,346.0,,1835.0,,November 2023
Europe,35.0,561.0,163.0,,,724.0,39.2,December 2023
Japan,34.0,64.0,286.0,349.0,,699.0,37.9,December 2023
Korea,16.0,400.0,23.0,,,423.0,22.9,December 2023
Total,85.0,1025.0,472.0,349.0,,1846.0,,December 2023
Europe,35.0,566.0,161.0,,,727.0,39.2,January 2024
Japan,34.0,64.0,286.0,352.0,,702.0,37.8,January 2024
Korea,16.0,404.0,23.0,,,427.0,23.0,January 2024
Total,85.0,1034.0,470.0,352.0,,1856.0,,January 2024
Europe,35.0,551.0,161.0,,,712.0,38.5,February 2024
Japan,34.0,64.0,287.0,353.0,,704.0,38.1,February 2024
Korea,16.0,411.0,23.0,,,434.0,23.5,February 2024
Total,85.0,1026.0,471.0,353.0,,1850.0,,February 2024
Europe,35.0,573.0,161.0,,,734.0,39.3,March 2024
Japan,34.0,64.0,285.0,353.0,,702.0,37.5,March 2024
Korea,16.0,411.0,23.0,,,434.0,23.2,March 2024
Total,85.0,1048.0,469.0,353.0,,1870.0,,March 2024
Europe,35.0,573.0,163.0,,,736.0,39.4,April 2024
Japan,34.0,64.0,285.0,354.0,,703.0,37.6,April 2024
Korea,16.0,407.0,23.0,,,430.0,23.0,April 2024
Total,85.0,1044.0,471.0,354.0,,1869.0,,April 2024
Europe,35.0,572.0,163.0,,,735.0,39.4,May 2024
Japan,34.0,63.0,285.0,354.0,,702.0,37.6,May 2024
Korea,16.0,405.0,23.0,,,428.0,22.9,May 2024
Total,85.0,1040.0,471.0,354.0,,1865.0,,May 2024
Europe,35.0,575.0,152.0,,,727.0,39.3,June 2024
Japan,34.0,63.0,284.0,354.0,,701.0,37.9,June 2024
Korea,16.0,397.0,23.0,,,420.0,22.7,June 2024
Total,85.0,1035.0,459.0,354.0,,1848.0,,June 2024
