Loc,LNAME,Place,Open,Closed,KSI,CmtyNum,Cmty,SVC,FONUM,FOSHORT,Month
196,KAZABRA,Floor,4/1/2001,8/8/8888,320,32,,Army,2,KAISERSLAUTERN 2 Europe KA02 E0 Dave KAZABRA 20% Rheinland Pfalz KAI,October 2023
218,STRIKERS,Floor,4/4/2001,8/8/8888,320,32,,Army,2,KAISERSLAUTERN 2 Europe KA06 E0 Dave STRIKERS 20% Rheinland Pfalz KAI,October 2023
256,PATCH CMTY CASINO,Floor,11/2/2009,8/8/8888,110,11,,Army,45,STUTTGART 2 Europe ST03 E0 Moved Sep 2020 Dave PATCH C/C 20% Stuttgart STU,October 2023
280,KELLEY COMM CLUB,Floor,11/2/2009,8/8/8888,110,11,,Army,45,STUTTGART 2 Europe ST02 E0 Dave KELLY C/C 20% Stuttgart STU,October 2023
298,GALAXY B/C,Floor,11/2/2009,8/8/8888,110,11,,Army,45,STUTTGART 2 Europe ST01 E0 Dave GALAXY B/C 20% Stuttgart STU,October 2023
330,LIVORNO COMM CLUB,Floor,4/1/2007,8/8/8888,30,3,,Army,4,VICENZA ‎ 2 Europe VZ02 E0 Dave LIVORNO C/C 20% Vicenza VIC,October 2023
413,ENTERTAINMENT CENTER GRAF,Floor,12/1/1996,8/8/8888,120,12,,Army,46,VILSECK 2 Europe VK02 E0 Dave GRAF E/C 20% Bavaria VIL,October 2023
415,HOHENFELS B/C,Floor,12/1/1996,8/8/8888,120,12,,Army,46,VILSECK 2 Europe VK03 E0 Dave HOHENFELS B/C 20% Bavaria VIL,October 2023
417,VILSECK B/C,Floor,12/1/2007,8/8/8888,120,12,,Army,46,VILSECK 2 Europe VK05 E0 Dave VILSECK B/C 20% Bavaria VIL,October 2023
437,ACTION LANES,Floor,10/4/2014,8/8/8888,40,4,,Army,31,ANSBACH 2 Europe AN01 E0 Dave ACTION LANES 20% Ansbach/Illesheim ANS,October 2023
438,STORCK BRK B/C,Floor,10/4/2014,8/8/8888,40,4,,Army,31,ANSBACH 2 Europe AN02 E0 Dave STORCK BRK B/C 20% Ansbach/Illesheim ANS,October 2023
770,DRAGON HILL LODGE,Floor,4/6/1994,8/8/8888,230,23,,Army,20,SEOUL 4 Korea SE01 K0 Dave DRAGON HILL 20% DRAGON HILL LODGE SEO,October 2023
776,"COMM CLUB, K-16",Floor,10/1/1993,8/8/8888,210,21,,Army,20,SEOUL 4 Korea SE02 K0 Dave K-16 C/C 20% Yongsan SEO,October 2023
797,IMPACT ZONE (GATEWAY CLUB),Floor,3/2/2008,8/8/8888,150,15,,Army,23,UIJEONGBU 4 Korea UJ03 K0 SMS Jun2019 (Gateway) Dave IMPACT ZONE 20% Camp Casey UIJ,October 2023
798,"WARRIOR'S, CASEY-E",Floor,3/2/2008,8/8/8888,150,15,,Army,23,UIJEONGBU 4 Korea UJ04 K0 Dave WARRIOR'S 20% Camp Casey UIJ,October 2023
819,"BOWL CTR, CP CASEY",Floor,6/24/2013,8/8/8888,150,15,,Army,23,UIJEONGBU 4 Korea UJ01 K0 Dave CASEY B/C 20% Camp Casey UIJ,October 2023
839,HUMPHREYS B/C,Floor,2/1/2019,8/8/8888,180,78,,Army,24,PYONGTAEK 4 Korea PY03 K0 Open Feb 2019 Dave HUMPHREYS B/C 20% Camp Humphreys PYO,October 2023
866,STATE'S GRILL,Floor,10/1/1993,8/8/8888,190,19,,Army,21,DAEGU 4 Korea DA04 K0 (Henry's) Dave STATE'S GRILL 20% Daegu DAE,October 2023
867,"HILLTOP, CP WALKER",Floor,12/12/1994,8/8/8888,190,19,,Army,21,DAEGU 4 Korea DA01 K0 Reno Aug-Dec 2020 Dave HILLTOP 20% Daegu DAE,October 2023
