Date,Location,AssetType,Category,Month_Actual,Month_Budget,Month_Variance,YTD_Actual,YTD_Budget,YTD_Variance
2023-03-31,Consolidated,Revenue,Gaming Machine Revenue,5948683.10,5500702.00,447981.10,31638455.25,27992174.00,3646281.25
2023-03-31,Consolidated,Revenue,Total Revenue,5948683.10,5500702.00,447981.10,31638455.25,27992174.00,3646281.25
2023-03-31,Consolidated,Revenue,Gaming NAFI,2721449.31,2551475.00,169974.31,14323105.36,14023409.00,299696.36
2023-03-31,Consolidated,Revenue,Total Direct Reimbursement,2721449.31,2551475.00,169974.31,14323105.36,14023409.00,299696.36
2023-03-31,Consolidated,Revenue,Net Revenue,3227233.79,2949227.00,278006.79,17315349.89,13968765.00,3346584.89
2023-03-31,Consolidated,Expenses,Compensation & Benefits,795488.35,776020.00,19468.35,4308932.05,5028851.00,-719918.95
2023-03-31,Consolidated,Expenses,Depreciation Expense,322778.78,307727.00,15051.78,1729965.76,1846362.00,-116396.24
2023-03-31,Consolidated,Expenses,Contractor Fees,19112.00,4144.00,14968.00,33799.50,24864.00,8935.50
2023-03-31,Consolidated,Expenses,Communications,23215.24,26065.00,-2849.76,108531.26,156390.00,-47858.74
2023-03-31,Consolidated,Expenses,TDY,67366.02,20154.00,47212.02,256980.36,313325.00,-56344.64
2023-03-31,Consolidated,Expenses,PCS,1905.28,10198.00,-8292.72,93794.49,61188.00,32606.49
2023-03-31,Consolidated,Expenses,IT Expense & Maint,27761.90,98437.00,-70675.10,181898.53,590622.00,-408723.47
2023-03-31,Consolidated,Expenses,Machine Expense & Maint,167906.54,160740.00,7166.54,439126.52,964440.00,-525313.48
2023-03-31,Consolidated,Expenses,Vehicle Expense,4337.34,6003.00,-1665.66,43982.37,32558.00,11424.37
2023-03-31,Consolidated,Expenses,Training,.00,9000.00,-9000.00,.00,54600.00,-54600.00
2023-03-31,Consolidated,Expenses,(Gain)/Loss on Disposals,110234.73,.00,110234.73,149937.12,.00,149937.12
2023-03-31,Consolidated,Expenses,Audit-Independent,9834.50,9251.00,583.50,59007.00,55506.00,3501.00
2023-03-31,Consolidated,Expenses,Audit-IMCOM Int Review,6019.91,4956.00,1063.91,19925.36,29736.00,-9810.64
2023-03-31,Consolidated,Expenses,Other Expenses,25333.72,26024.00,-690.28,142714.10,156144.00,-13429.90
2023-03-31,Consolidated,Expenses,Total Operating Expenses,1581294.31,1458719.00,122575.31,7568594.42,9314586.00,-1745991.58
2023-03-31,Consolidated,Expenses,Net Operating Income/(Loss),1645939.48,1490508.00,155431.48,9746755.47,4654179.00,5092576.47
2023-03-31,Consolidated,Net,Interest Revenue,73017.13,19945.00,53072.13,318478.37,119670.00,198808.37
2023-03-31,Consolidated,Net,Non-Operating Inc/(Exp),-8158.68,.00,-8158.68,324.45,.00,324.45
2023-03-31,Consolidated,Net,Net Income/(Loss),1710797.93,1510453.00,200344.93,10065558.29,4773849.00,5291709.29
2023-03-31,Consolidated,Net,Distributions,1710797.93,1510453.00,200344.93,10065558.29,4773849.00,5291709.29
2023-03-31,Consolidated,Net,After Distributions,.00,.00,.00,.00,.00,.00
2023-03-31,Europe,Revenue,Gaming Machine Revenue,1757983.55,1396087.00,361896.55,8415403.50,8268785.00,146618.50
2023-03-31,Europe,Revenue,Total Revenue,1757983.55,1396087.00,361896.55,8415403.50,8268785.00,146618.50
2023-03-31,Europe,Revenue,Gaming NAFI,516438.30,392417.00,124021.30,2459564.70,2334952.00,124612.70
2023-03-31,Europe,Revenue,Total Direct Reimbursement,516438.30,392417.00,124021.30,2459564.70,2334952.00,124612.70
2023-03-31,Europe,Revenue,Net Revenue,1241545.25,1003670.00,237875.25,5955838.80,5933833.00,22005.80
2023-03-31,Europe,Expenses,Compensation & Benefits,334221.39,341322.00,-7100.61,1791659.24,2209221.00,-417561.76
2023-03-31,Europe,Expenses,Depreciation Expense,133546.79,116771.00,16775.79,726765.45,700626.00,26139.45
2023-03-31,Europe,Expenses,Contractor Fees,7406.43,1586.00,5820.43,13117.99,9516.00,3601.99
2023-03-31,Europe,Expenses,Communications,11682.99,10087.00,1595.99,52754.07,60522.00,-7767.93
2023-03-31,Europe,Expenses,TDY,23894.73,14934.00,8960.73,110768.00,218912.00,-108144.00
2023-03-31,Europe,Expenses,PCS,.00,4836.00,-4836.00,12548.05,29016.00,-16467.95
2023-03-31,Europe,Expenses,IT Expense & Maint,10706.13,37612.00,-26905.87,69810.75,225672.00,-155861.25
2023-03-31,Europe,Expenses,Machine Expense & Maint,96967.84,23130.00,73837.84,332304.41,138780.00,193524.41
2023-03-31,Europe,Expenses,Vehicle Expense,2306.46,3460.00,-1153.54,29237.96,17300.00,11937.96
2023-03-31,Europe,Expenses,Training,.00,5413.00,-5413.00,.00,32643.00,-32643.00
2023-03-31,Europe,Expenses,(Gain)/Loss on Disposals,33183.05,.00,33183.05,57230.04,.00,57230.04
2023-03-31,Europe,Expenses,Audit-Independent,3811.14,3494.00,317.14,22954.47,20964.00,1990.47
2023-03-31,Europe,Expenses,Audit-IMCOM Int Review,2332.90,1851.00,481.90,7755.57,11106.00,-3350.43
