Date,Location,AssetType,Category,ARMP,Army,Navy,USMC,MonthCount
2023-03-31,Consolidated,Revenue,Gaming Machine Revenue,5948683.10,3363412.25,1395330.55,1189940.30,1
2023-03-31,Consolidated,Revenue,Total Revenue,5948683.10,3363412.25,1395330.55,1189940.30,1
2023-03-31,Consolidated,Revenue,Gaming NAFI,2721449.31,661215.80,1137670.05,922563.46,1
2023-03-31,Consolidated,Revenue,Total Direct Reimbursement,2721449.31,661215.80,1137670.05,922563.46,1
2023-03-31,Consolidated,Revenue,Net Revenue,3227233.79,2702196.45,257660.50,267376.84,1
2023-03-31,Consolidated,Expenses,Compensation & Benefits,795488.35,452559.28,192690.85,150238.22,1
2023-03-31,Consolidated,Expenses,Depreciation Expense,322778.78,202043.53,58427.30,62307.95,1
2023-03-31,Consolidated,Expenses,Contractor Fees,19112.00,10371.06,4879.82,3861.12,1
2023-03-31,Consolidated,Expenses,Communications,23215.24,17444.20,2994.67,2776.37,1
2023-03-31,Consolidated,Expenses,TDY,67366.02,33017.54,24905.76,9442.72,1
2023-03-31,Consolidated,Expenses,PCS,1905.28,1387.73,275.42,242.13,1
2023-03-31,Consolidated,Expenses,IT Expense & Maint,27761.90,14687.56,7412.34,5662.00,1
2023-03-31,Consolidated,Expenses,Machine Expense & Maint,167906.54,115172.58,29421.50,23312.46,1
2023-03-31,Consolidated,Expenses,Vehicle Expense,4337.34,3145.66,409.00,782.68,1
2023-03-31,Consolidated,Expenses,Training,.00,.00,.00,.00,1
2023-03-31,Consolidated,Expenses,(Gain)/Loss on Disposals,110234.73,69597.83,22178.78,18458.12,1
2023-03-31,Consolidated,Expenses,Audit-Independent,9834.50,5336.65,2511.02,1986.83,1
2023-03-31,Consolidated,Expenses,Audit-IMCOM Int Review,6019.91,3266.69,1537.04,1216.18,1
2023-03-31,Consolidated,Expenses,Other Expenses,25333.72,14996.83,4680.96,5655.93,1
2023-03-31,Consolidated,Expenses,Total Operating Expenses,1581294.31,943027.14,352324.46,285942.71,1
2023-03-31,Consolidated,Expenses,Net Operating Income/(Loss),1645939.48,1759169.31,-94663.96,-18565.87,1
2023-03-31,Consolidated,Net,Interest Revenue,73017.13,44451.46,13653.38,14912.29,1
2023-03-31,Consolidated,Net,Non-Operating Inc/(Exp),-8158.68,-6714.08,-1404.97,-39.63,1
2023-03-31,Consolidated,Net,Net Income/(Loss),1710797.93,1796906.69,-82415.55,-3693.21,1
2023-03-31,Consolidated,Net,Distributions,1710797.93,1796906.69,-82415.55,-3693.21,1
2023-03-31,Consolidated,Net,After Distributions,.00,.00,.00,.00,1
2023-03-31,Europe,Revenue,Gaming Machine Revenue,1757983.55,1431886.30,326097.25,.00,1
2023-03-31,Europe,Revenue,Total Revenue,1757983.55,1431886.30,326097.25,.00,1
2023-03-31,Europe,Revenue,Gaming NAFI,516438.30,274274.15,242164.15,.00,1
2023-03-31,Europe,Revenue,Total Direct Reimbursement,516438.30,274274.15,242164.15,.00,1
2023-03-31,Europe,Revenue,Net Revenue,1241545.25,1157612.15,83933.10,.00,1
2023-03-31,Europe,Expenses,Compensation & Benefits,334221.39,259651.17,74570.22,.00,1
2023-03-31,Europe,Expenses,Depreciation Expense,133546.79,114218.34,19328.45,.00,1
2023-03-31,Europe,Expenses,Contractor Fees,7406.43,5684.73,1721.70,.00,1
2023-03-31,Europe,Expenses,Communications,11682.99,10288.70,1394.29,.00,1
2023-03-31,Europe,Expenses,TDY,23894.73,18207.94,5686.79,.00,1
2023-03-31,Europe,Expenses,PCS,.00,.00,.00,.00,1
2023-03-31,Europe,Expenses,IT Expense & Maint,10706.13,8058.15,2647.98,.00,1
2023-03-31,Europe,Expenses,Machine Expense & Maint,96967.84,86549.61,10418.23,.00,1
2023-03-31,Europe,Expenses,Vehicle Expense,2306.46,2108.43,198.03,.00,1
2023-03-31,Europe,Expenses,Training,.00,.00,.00,.00,1
2023-03-31,Europe,Expenses,(Gain)/Loss on Disposals,33183.05,31807.83,1375.22,.00,1
2023-03-31,Europe,Expenses,Audit-Independent,3811.14,2925.20,885.94,.00,1
2023-03-31,Europe,Expenses,Audit-IMCOM Int Review,2332.90,1790.59,542.31,.00,1
2023-03-31,Europe,Expenses,Other Expenses,9310.72,7313.89,1996.83,.00,1
2023-03-31,Europe,Expenses,Total Operating Expenses,669370.57,548604.58,120765.99,.00,1
2023-03-31,Europe,Expenses,Net Operating Income/(Loss),572174.68,609007.57,-36832.89,.00,1
2023-03-31,Europe,Net,Interest Revenue,18787.30,15590.49,3196.81,.00,1
2023-03-31,Europe,Net,Non-Operating Inc/(Exp),-8038.51,-6665.97,-1372.54,.00,1
2023-03-31,Europe,Net,Net Income/(Loss),582923.47,617932.09,-35008.62,.00,1
2023-03-31,Europe,Net,Distributions,582923.47,617932.09,-35008.62,.00,1
2023-03-31,Europe,Net,After Distributions,.00,.00,.00,.00,1
2023-03-31,Japan,Revenue,Gaming Machine Revenue,2348897.00,104083.60,1054873.10,1189940.30,1
2023-03-31,Japan,Revenue,Total Revenue,2348897.00,104083.60,1054873.10,1189940.30,1
2023-03-31,Japan,Revenue,Gaming NAFI,1823990.86,15973.65,885453.75,922563.46,1
2023-03-31,Japan,Revenue,Total Direct Reimbursement,1823990.86,15973.65,885453.75,922563.46,1
2023-03-31,Japan,Revenue,Net Revenue,524906.14,88109.95,169419.35,267376.84,1
2023-03-31,Japan,Expenses,Compensation & Benefits,301858.35,37761.79,113858.34,150238.22,1
2023-03-31,Japan,Expenses,Depreciation Expense,111508.17,10953.45,38246.77,62307.95,1
2023-03-31,Japan,Expenses,Contractor Fees,7640.67,733.50,3046.05,3861.12,1
2023-03-31,Japan,Expenses,Communications,5274.76,950.84,1547.55,2776.37,1
2023-03-31,Japan,Expenses,TDY,29406.44,1793.84,18169.88,9442.72,1
2023-03-31,Japan,Expenses,PCS,571.75,63.97,265.65,242.13,1
2023-03-31,Japan,Expenses,IT Expense & Maint,11372.67,1111.50,4599.17,5662.00,1
2023-03-31,Japan,Expenses,Machine Expense & Maint,45988.43,4335.06,18340.91,23312.46,1
2023-03-31,Japan,Expenses,Vehicle Expense,1285.81,294.61,208.52,782.68,1
2023-03-31,Japan,Expenses,Training,.00,.00,.00,.00,1
2023-03-31,Japan,Expenses,(Gain)/Loss on Disposals,77051.68,37790.00,20803.56,18458.12,1
2023-03-31,Japan,Expenses,Audit-Independent,3931.68,377.44,1567.41,1986.83,1
2023-03-31,Japan,Expenses,Audit-IMCOM Int Review,2406.65,231.04,959.43,1216.18,1
2023-03-31,Japan,Expenses,Other Expenses,9676.84,1353.46,2667.45,5655.93,1
2023-03-31,Japan,Expenses,Total Operating Expenses,607973.90,97750.50,224280.69,285942.71,1
2023-03-31,Japan,Expenses,Net Operating Income/(Loss),-83067.76,-9640.55,-54861.34,-18565.87,1
2023-03-31,Japan,Net,Interest Revenue,26899.52,1851.57,10135.66,14912.29,1
2023-03-31,Japan,Net,Non-Operating Inc/(Exp),-78.44,-7.53,-31.28,-39.63,1
2023-03-31,Japan,Net,Net Income/(Loss),-56246.68,-7796.51,-44756.96,-3693.21,1
2023-03-31,Japan,Net,Distributions,-56246.68,-7796.51,-44756.96,-3693.21,1
2023-03-31,Japan,Net,After Distributions,.00,.00,.00,.00,1
2023-03-31,Korea,Revenue,Gaming Machine Revenue,1841802.55,1827442.35,14360.20,.00,1
2023-03-31,Korea,Revenue,Total Revenue,1841802.55,1827442.35,14360.20,.00,1
2023-03-31,Korea,Revenue,Gaming NAFI,381020.15,370968.00,10052.15,.00,1
2023-03-31,Korea,Revenue,Total Direct Reimbursement,381020.15,370968.00,10052.15,.00,1
2023-03-31,Korea,Revenue,Net Revenue,1460782.40,1456474.35,4308.05,.00,1
2023-03-31,Korea,Expenses,Compensation & Benefits,159408.61,155146.32,4262.29,.00,1
2023-03-31,Korea,Expenses,Depreciation Expense,77723.82,76871.74,852.08,.00,1
2023-03-31,Korea,Expenses,Contractor Fees,4064.90,3952.83,112.07,.00,1
2023-03-31,Korea,Expenses,Communications,6257.49,6204.66,52.83,.00,1
