Page,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI
7,2394,FY14,,,,321886.22,253192.35
7,2394,FY15,,,,199613.85,159691.1
7,2394,FY16,,,,154936.6,123949.3
7,2394,FY17,,,,223834.25,179067.4
7,2394,FY18,,,,140962.75,112770.2
7,2394,FY19,,,,169753.45,135802.75
7,2394,FY20,,,,79242.5,63393.95
14,1107,Courtney BC 400701,FY14,,,879852.29,701942.95
14,1107,Courtney BC 400701,FY15,,,959271.35,767417.1
14,1107,Courtney BC 400701,FY16,,,903179.75,721435.3
14,1107,Courtney BC 400701,FY17,,,695311.4,556249.0
14,1107,Courtney BC 400701,FY18,,,789379.35,631503.4
14,1107,Courtney BC 400701,FY19,,,634674.05,513016.25
14,1107,Courtney BC 400701,FY20,,,376878.7,296226.05
24,3159,Whispers (West Pac Inn) 400801,FY14,,,11834212.89,9479726.84
24,3159,Whispers (West Pac Inn) 400801,FY15,,,10785359.67,8643577.85
24,3159,Whispers (West Pac Inn) 400801,FY16,,,11200569.06,8959159.45
25,3159,Whispers (West Pac Inn) 400801,FY17,,,10852432.03,8656807.7
25,3159,Whispers (West Pac Inn) 400801,FY18,,,11064715.0,8887250.1
25,3159,Whispers (West Pac Inn) 400801,FY19,,,11080379.15,8863625.45
25,3159,Whispers (West Pac Inn) 400801,FY20,,,7668835.6,6123243.43
26,1118,FY14,,,,13898.59,10787.5
26,1118,FY15,,,,1903.0,1522.4
26,1118,FY16,,,,6616.05,5292.85
34,3167,Hangar E-Club,FY14,,,1837249.87,1471905.35
34,3167,Hangar E-Club,FY15,,,1634896.31,1303855.95
34,3167,Hangar E-Club,FY16,,,1376559.22,1102243.85
34,3167,Hangar E-Club,FY17,,,1413788.96,1158457.35
34,3167,Hangar E-Club,FY18,,,1956272.75,1536764.85
34,3167,Hangar E-Club,FY19,,,2597881.95,2087044.85
34,3167,Hangar E-Club,FY20,,,1914320.15,1520565.35
42,2394,FY14,,,,321886.22,253192.35
42,2394,FY15,,,,199613.85,159691.1
42,2394,FY16,,,,154936.6,123949.3
42,2394,FY17,,,,223834.25,179067.4
42,2394,FY18,,,,140962.75,112770.2
42,2394,FY19,,,,169753.45,135802.75
42,2394,FY20,,,,79242.5,63393.95
42,2394,FY21,,,,110818.55,88654.85
50,1107,Courtney BC 400701,FY14,,,879852.29,701942.95
50,1107,Courtney BC 400701,FY15,,,959271.35,767417.1
50,1107,Courtney BC 400701,FY16,,,903179.75,721435.3
50,1107,Courtney BC 400701,FY17,,,695311.4,556249.0
50,1107,Courtney BC 400701,FY18,,,789379.35,631503.4
50,1107,Courtney BC 400701,FY19,,,634674.05,513016.25
50,1107,Courtney BC 400701,FY20,,,376878.7,296226.05
50,1107,Courtney BC 400701,FY21,,,320473.45,256378.75
62,3159,Whispers (West Pac Inn) 400801,FY14,,,11834212.89,9479726.84
62,3159,Whispers (West Pac Inn) 400801,FY15,,,10785359.67,8643577.85
62,3159,Whispers (West Pac Inn) 400801,FY16,,,11200569.06,8959159.45
62,3159,Whispers (West Pac Inn) 400801,FY17,,,10852432.03,8656807.7
62,3159,Whispers (West Pac Inn) 400801,FY18,,,11064715.0,8887250.1
62,3159,Whispers (West Pac Inn) 400801,FY19,,,11080379.15,8863625.45
62,3159,Whispers (West Pac Inn) 400801,FY20,,,7668835.6,6123243.43
62,3159,Whispers (West Pac Inn) 400801,FY21,,,9251639.7,7406466.0
63,1118,FY14,,,,13898.59,10787.5
63,1118,FY15,,,,1903.0,1522.4
63,1118,FY16,,,,6616.05,5292.85
72,3167,Hangar E-Club,FY14,,,1837249.87,1471905.35
72,3167,Hangar E-Club,FY15,,,1634896.31,1303855.95
72,3167,Hangar E-Club,FY16,,,1376559.22,1102243.85
72,3167,Hangar E-Club,FY17,,,1413788.96,1158457.35
72,3167,Hangar E-Club,FY18,,,1956272.75,1536764.85
72,3167,Hangar E-Club,FY19,,,2597881.95,2087044.85
72,3167,Hangar E-Club,FY20,,,1914320.15,1520565.35
72,3167,Hangar E-Club,FY21,,,2099007.5,1679205.8
81,2394,FY14,,,,321886.22,253192.35
81,2394,FY15,,,,199613.85,159691.1
81,2394,FY16,,,,154936.6,123949.3
81,2394,FY17,,,,223834.25,179067.4
81,2394,FY18,,,,140962.75,112770.2
81,2394,FY19,,,,169753.45,135802.75
81,2394,FY20,,,,79242.5,63393.95
81,2394,FY21,,,,110818.55,88654.85
81,2394,FY22,,,,159744.85,127795.9
90,1107,Courtney BC 400701,FY14,,,879852.29,701942.95
90,1107,Courtney BC 400701,FY15,,,959271.35,767417.1
90,1107,Courtney BC 400701,FY16,,,903179.75,721435.3
90,1107,Courtney BC 400701,FY17,,,695311.4,556249.0
90,1107,Courtney BC 400701,FY18,,,789379.35,631503.4
90,1107,Courtney BC 400701,FY19,,,634674.05,513016.25
90,1107,Courtney BC 400701,FY20,,,376878.7,296226.05
