Page,Country,Installation,FY16,FY17,FY18,FY19,FY20 thru SEP,Annualized FY20
1,Korea,Camp Mujuk,,,5817.7,1468.85,,
1,Japan,Camp Fuji,68243.23,113431.99,54469.5,45665.05,13839.25,13839.25
1,Japan,Camp Schwab,154936.6,223834.25,140962.75,169753.45,79242.5,79242.5
1,Japan,Camp Hansen,678984.45,706683.1,722902.15,826043.85,615080.7,615080.7
1,Japan,Camp Courtney,903179.75,695311.4,789379.35,634674.05,376878.7,376878.7
1,Japan,Camp Butler/Foster,11200569.06,10852432.03,11064715.0,11080379.15,7668835.6,7668835.6
1,Japan,Camp Futenma,6616.05,,,,,
1,Japan,Camp Kinser,425943.0,368951.25,490115.1,485449.55,368815.75,368815.75
1,Japan,Iwakuni,1376559.22,1413788.96,1956272.75,2597881.95,1914320.15,1914320.15
1,TotalRevenue,,14815031.36,14374432.98,15224634.3,15841315.9,11037012.65,11037012.65
1,Country,Installation,16.0,17.0,18.0,19.0,20.0,20.0
1,Korea,Camp Mujuk,,,4654.15,1175.08,,
1,Japan,Camp Fuji,60598.3,84892.65,43575.6,37638.8,11071.4,11071.4
1,Japan,Camp Schwab,123949.3,179067.4,112770.2,135802.75,63393.95,63393.95
1,Japan,Camp Hansen,544296.05,565346.55,578321.7,663737.3,489162.4,489162.4
1,Japan,Camp Courtney,721435.3,556249.0,631503.4,513016.25,296226.05,296226.05
1,Japan,Camp Butler/Foster,8959159.45,8656807.7,8887250.1,8863625.45,6123243.43,6123243.43
1,Japan,Camp Futenma,5292.85,,,,,
1,Japan,Camp Kinser,340754.45,295161.0,392091.95,400219.15,283193.05,283193.05
1,Japan,Iwakuni,1102243.85,1158457.35,1536764.85,2087044.85,1520565.35,1520565.35
1,TotalNAFI,,11857729.55,11495981.65,12186931.95,12702259.63,8786855.63,8786855.63
35,Korea,Camp Mujuk,,5817.7,1468.85,,,
35,Japan,Camp Fuji,113431.99,54469.5,45665.05,13839.25,27515.5,27515.5
35,Japan,Camp Schwab,223834.25,140962.75,169753.45,79242.5,110818.55,110818.55
35,Japan,Camp Hansen,706683.1,722902.15,826043.85,615080.7,539340.65,539340.65
35,Japan,Camp Courtney,695311.4,789379.35,634674.05,376878.7,320473.45,320473.45
35,Japan,Camp Butler/Foster,10852432.03,11064715.0,11080379.15,7668835.6,9251639.7,9251639.7
35,Japan,Camp Futenma,,,,,,
35,Japan,Camp Kinser,368951.25,490115.1,485449.55,368815.75,519750.6,519750.6
35,Japan,Iwakuni,1413788.96,1956272.75,2597881.95,1914320.15,2099007.5,2099007.5
35,TotalRevenue,,14374432.98,15224634.3,15841315.9,11037012.65,12868545.95,12868545.95
35,Country,Installation,17.0,18.0,19.0,20.0,21.0,21.0
35,Korea,Camp Mujuk,,4654.15,1175.08,,,
35,Japan,Camp Fuji,84892.65,43575.6,37638.8,11071.4,22012.4,22012.4
35,Japan,Camp Schwab,179067.4,112770.2,135802.75,63393.95,88654.85,88654.85
35,Japan,Camp Hansen,565346.55,578321.7,663737.3,489162.4,431472.5,431472.5
35,Japan,Camp Courtney,556249.0,631503.4,513016.25,296226.05,256378.75,256378.75
35,Japan,Camp Butler/Foster,8656807.7,8887250.1,8863625.45,6123243.43,7406466.0,7406466.0
35,Japan,Camp Futenma,,,,,,
35,Japan,Camp Kinser,295161.0,392091.95,400219.15,283193.05,415800.5,415800.5
35,Japan,Iwakuni,1158457.35,1536764.85,2087044.85,1520565.35,1679205.8,1679205.8
35,TotalNAFI,,11495981.65,12186931.95,12702259.63,8786855.63,10299990.8,10299990.8
73,Korea,Camp Mujuk,5817.7,1468.85,,,,
73,Japan,Camp Fuji,54469.5,45665.05,13839.25,27515.5,28033.95,28033.95
73,Japan,Camp Schwab,140962.75,169753.45,79242.5,110818.55,159744.85,159744.85
73,Japan,Camp Hansen,722902.15,826043.85,615080.7,539340.65,630048.55,630048.55
73,Japan,Camp Courtney,789379.35,634674.05,376878.7,320473.45,189968.7,189968.7
73,Japan,Camp Butler/Foster,11064715.0,11080379.15,7668835.6,9251639.7,9566203.0,9566203.0
73,Japan,Camp Kinser,490115.1,485449.55,368815.75,519750.6,351221.55,351221.55
73,Japan,Iwakuni,1956272.75,2597881.95,1914320.15,2099007.5,2091278.35,2091278.35
73,TotalRevenue,,15224634.3,15841315.9,11037012.65,12868545.95,13016498.95,13016498.95
73,Country,Installation,18.0,19.0,20.0,21.0,22.0,22.0
73,Korea,Camp Mujuk,4654.15,1175.08,,,,
73,Japan,Camp Fuji,43575.6,37638.8,11071.4,22012.4,22427.15,22427.15
73,Japan,Camp Schwab,112770.2,135802.75,63393.95,88654.85,127795.9,127795.9
73,Japan,Camp Hansen,578321.7,663737.3,489162.4,431472.5,504038.9,504038.9
73,Japan,Camp Courtney,631503.4,513016.25,296226.05,256378.75,151974.9,151974.9
73,Japan,Camp Butler/Foster,8887250.1,8863625.45,6123243.43,7406466.0,7642358.8,7642358.8
73,Japan,Camp Kinser,392091.95,400219.15,283193.05,415800.5,280977.2,280977.2
73,Japan,Iwakuni,1536764.85,2087044.85,1520565.35,1679205.8,1690229.75,1690229.75
73,TotalNAFI,,12186931.95,12702259.63,8786855.63,10299990.8,10419802.6,10419802.6
115,Korea,Camp Mujuk,5817.7,1468.85,,,,
115,Japan,Camp Fuji,54469.5,45665.05,13839.25,27515.5,,
115,Japan,Camp Schwab,140962.75,169753.45,79242.5,110818.55,,
115,Japan,Camp Hansen,722902.15,826043.85,615080.7,539340.65,,
115,Japan,Camp Courtney,789379.35,634674.05,376878.7,320473.45,,
115,Japan,Camp Butler/Foster,11064715.0,11080379.15,7668835.6,9251639.7,,
115,Japan,Camp Kinser,490115.1,485449.55,368815.75,519750.6,,
115,Japan,Iwakuni,1956272.75,2597881.95,1914320.15,2099007.5,,
115,,TotalRevenue,15224634.3,15841315.9,11037012.65,12868545.95,,
115,Country,Installation,18.0,19.0,20.0,21.0,2223.0,2423.0
115,Korea,Camp Mujuk,4654.15,1175.08,,,,
115,Japan,Camp Fuji,43575.6,37638.8,11071.4,22012.4,,
115,Japan,Camp Schwab,112770.2,135802.75,63393.95,88654.85,,
115,Japan,Camp Hansen,578321.7,663737.3,489162.4,431472.5,,
115,Japan,Camp Courtney,631503.4,513016.25,296226.05,256378.75,,
115,Japan,Camp Butler/Foster,8887250.1,8863625.45,6123243.43,7406466.0,,
115,Japan,Camp Kinser,392091.95,400219.15,283193.05,415800.5,,
115,Japan,Iwakuni,1536764.85,2087044.85,1520565.35,1679205.8,,
115,,TotalNAFI,12186931.95,12702259.63,8786855.63,10299990.8,,
157,Japan,Camp Fuji,13839.25,27515.5,28033.95,35591.48,23310.35,39960.6
157,Japan,Camp Schwab,79242.5,110818.55,159744.85,180176.05,99198.75,170055.0
157,Japan,Camp Hansen,615080.7,539340.65,630048.55,703382.65,424206.9,727211.83
157,Japan,Camp Courtney,376878.7,320473.45,189968.7,228926.75,175644.75,301105.29
157,Japan,Camp Butler/Foster,7668835.6,9251639.7,9566203.0,9581233.77,5951443.97,10202475.38
157,Japan,Camp Kinser,368815.75,519750.6,351221.55,347272.5,308427.7,528733.2
157,Japan,Iwakuni,1914320.15,2099007.5,2091278.35,1895816.87,1178265.2,2019883.2
157,TotalRevenue,,11037012.65,12868545.95,13016498.95,12972400.07,8160497.62,13989424.49
157,Country,Installation,20.0,21.0,22.0,23.0,24.0,24.0
157,Japan,Camp Fuji,11071.4,22012.4,22427.15,28470.75,18731.8,32111.66
157,Japan,Camp Schwab,63393.95,88654.85,127795.9,147057.3,76884.05,131801.23
157,Japan,Camp Hansen,489162.4,431472.5,504038.9,566501.14,338792.6,580787.31
157,Japan,Camp Courtney,296226.05,256378.75,151974.9,198318.9,126095.6,216163.89
