Country,Installation,FY16,FY17,FY18,FY19,FY20,FY21,FY20 thru SEP,FY21 thru SEP,FY22 thru SEP,ANNUALIZED FY20,ANNUALIZED FY21,ANNUALIZED FY22
Korea,Chin Hae $,180813.56,107702.89,186026.95,178352.1,357443.06,375058.45,357443.06,375058.45,400476.4,357443.06,375058.45,400476.4
Malaysia,Singapore,21449.75,209637.55,222577.0,306888.0,33112.95,-30.5,33112.95,-30.5,59631.0,33112.95,-30.5,59631.0
Japan,Okinawa,482923.16,409981.09,380989.25,395305.7,280698.3,389365.2,280698.3,389365.2,384308.95,280698.3,389365.2,384308.95
Japan,New Sanno Hotel,927183.13,866641.41,888156.3,902217.9,651836.1,367350.55,651836.1,367350.55,971662.15,651836.1,367350.55,971662.15
Japan,Atsugi,1178216.09,1286398.7,1139178.4,1364078.3,1083616.25,1496235.9,1083616.25,1496235.9,1084112.55,1083616.25,1496235.9,1084112.55
Japan,Sasebo,1997906.83,1778821.45,2139203.34,1930593.41,1772062.7,2481868.6,1772062.7,2481868.6,2468529.5,1772062.7,2481868.6,2468529.5
Japan,Yokosuka,3103960.35,3892849.94,4319686.0,4810613.27,3290195.85,4052650.5,3290195.85,4052650.5,5273958.35,3290195.85,4052650.5,5273958.35
Italy,Naples,991376.15,1116789.71,1010641.2,988787.35,588654.0,357618.25,588654.0,357618.25,1043952.36,588654.0,357618.25,1043952.36
Italy,Sigonella,460034.89,401614.4,633632.05,619353.05,443036.55,545737.9,443036.55,545737.9,709716.65,443036.55,545737.9,709716.65
Spain,Rota,1016488.63,889430.76,889084.8,990879.9,615590.65,756131.05,615590.65,756131.05,1015218.1,615590.65,756131.05,1015218.1
Greece,Souda Bay,114909.17,119409.74,153587.45,91053.7,58890.0,,58890.0,,41869.05,58890.0,,41869.05
Korea,Navy Club,,,,,,,,,,,,
