Installation,Loc#,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,Status
Atsugi,3078,Corner Pocket 401401,Oct-12,9341.50,9218.50,,,
Atsugi,3078,Corner Pocket 401401,Nov-12,60167.05,46388.35,,,
Atsugi,3078,Corner Pocket 401401,Dec-12,60272.00,48217.60,,,
Atsugi,3078,Corner Pocket 401401,Jan-13,67270.45,53816.35,,,
Atsugi,3078,Corner Pocket 401401,Feb-13,39499.00,31599.20,,,
Atsugi,3078,Corner Pocket 401401,Mar-13,34453.40,27562.70,,,
Atsugi,3078,Corner Pocket 401401,Apr-13,35871.60,28697.30,,,
Atsugi,3078,Corner Pocket 401401,May-13,35786.35,28629.10,,,
Atsugi,3078,Corner Pocket 401401,Jun-13,37479.95,29983.95,,,
Atsugi,3078,Corner Pocket 401401,Jul-13,16870.05,13496.05,,,
Atsugi,3078,Corner Pocket 401401,Aug-13,22917.35,18333.85,,,
Atsugi,3078,Corner Pocket 401401,Sep-13,15328.25,12262.60,435256.95,348205.55,
Atsugi,3078,Corner Pocket 401401,Oct-13,26508.50,21206.80,,,
Atsugi,3078,Corner Pocket 401401,Nov-13,15731.00,12584.80,,,
Atsugi,3078,Corner Pocket 401401,Dec-13,60466.40,48373.10,,,
Atsugi,3078,Corner Pocket 401401,Jan-14,95591.72,79283.00,,,
Atsugi,3078,Corner Pocket 401401,Feb-14,76148.12,65327.30,,,
Atsugi,3078,Corner Pocket 401401,Mar-14,89180.10,71344.10,,,
Atsugi,3078,Corner Pocket 401401,Apr-14,95163.10,78940.95,,,
Atsugi,3078,Corner Pocket 401401,May-14,130371.16,101820.80,,,
Atsugi,3078,Corner Pocket 401401,Jun-14,66620.05,53296.05,,,
Atsugi,3078,Corner Pocket 401401,Jul-14,87451.79,76386.05,,,
Atsugi,3078,Corner Pocket 401401,Aug-14,79942.55,61457.70,,,
Atsugi,3078,Corner Pocket 401401,Sep-14,76682.48,64419.75,899856.97,734440.40,
Atsugi,3078,Corner Pocket 401401,Oct-14,92209.86,69540.35,,,
Atsugi,3078,Corner Pocket 401401,Nov-14,75628.77,62032.40,,,
Atsugi,3078,Corner Pocket 401401,Dec-14,82820.95,65507.65,,,
Atsugi,3078,Corner Pocket 401401,Jan-15,75962.87,61746.85,,,
Atsugi,3078,Corner Pocket 401401,Feb-15,71693.79,63483.45,,,
Atsugi,3078,Corner Pocket 401401,Mar-15,88596.42,67815.50,,,
Atsugi,3078,Corner Pocket 401401,Apr-15,114191.05,92738.60,,,
Atsugi,3078,Corner Pocket 401401,May-15,73586.37,55975.80,,,
Atsugi,3078,Corner Pocket 401401,Jun-15,55190.18,47112.05,,,
Atsugi,3078,Corner Pocket 401401,Jul-15,69911.15,55335.65,,,
Atsugi,3078,Corner Pocket 401401,Aug-15,48697.95,44192.80,,,
Atsugi,3078,Corner Pocket 401401,Sep-15,40702.64,24616.00,889192.00,710097.10,
Atsugi,3078,Corner Pocket 401401,Oct-15,77032.64,55298.00,,,
Atsugi,3078,Corner Pocket 401401,Nov-15,47556.08,38254.60,,,
Atsugi,3078,Corner Pocket 401401,Dec-15,51367.45,41093.95,,,
Atsugi,3078,Corner Pocket 401401,Jan-16,25460.04,24142.80,,,
Atsugi,3078,Corner Pocket 401401,Feb-16,41625.39,32536.10,,,
Atsugi,3078,Corner Pocket 401401,Mar-16,40344.59,38115.55,,,
Atsugi,3078,Corner Pocket 401401,Apr-16,60806.86,37123.90,,,
Atsugi,3078,Corner Pocket 401401,May-16,35679.79,27620.65,,,
Atsugi,3078,Corner Pocket 401401,Jun-16,53528.01,41276.00,,,
Atsugi,3078,Corner Pocket 401401,Jul-16,30426.66,26707.05,,,
Atsugi,3078,Corner Pocket 401401,Aug-16,29961.97,26337.60,,,
Atsugi,3078,Corner Pocket 401401,Sep-16,55788.81,43952.60,549578.29,432458.80,
Atsugi,3078,Corner Pocket 401401,Oct-16,38657.47,29844.20,,,
Atsugi,3078,Corner Pocket 401401,Nov-16,29351.61,26763.45,,,
Atsugi,3078,Corner Pocket 401401,Dec-16,51619.90,41910.50,,,
Atsugi,3078,Corner Pocket 401401,Jan-17,53913.75,44085.05,,,
Atsugi,3078,Corner Pocket 401401,Feb-17,44564.41,28434.20,,,
Atsugi,3078,Corner Pocket 401401,Mar-17,35277.88,29015.35,,,
Atsugi,3078,Corner Pocket 401401,Apr-17,48241.08,44051.50,,,
Atsugi,3078,Corner Pocket 401401,May-17,32190.60,23298.75,,,
Atsugi,3078,Corner Pocket 401401,Jun-17,31852.55,24149.65,,,
Atsugi,3078,Corner Pocket 401401,Jul-17,25152.00,17322.30,,,
Atsugi,3078,Corner Pocket 401401,Aug-17,32877.85,27403.65,,,
Atsugi,3078,Corner Pocket 401401,Sep-17,15101.95,12149.25,438801.05,348427.85,
Atsugi,3078,Corner Pocket 401401,Oct-17,13394.70,18012.80,,,
Atsugi,3078,Corner Pocket 401401,Nov-17,30254.60,28522.25,,,
Atsugi,3078,Corner Pocket 401401,Dec-17,28748.70,28256.25,,,
Atsugi,3078,Corner Pocket 401401,Jan-18,10007.35,2748.60,,,
Atsugi,3078,Corner Pocket 401401,Feb-18,29741.50,21422.30,,,
Atsugi,3078,Corner Pocket 401401,Mar-18,31682.05,14617.40,,,
Atsugi,3078,Corner Pocket 401401,Apr-18,10261.90,19467.80,,,
Atsugi,3078,Corner Pocket 401401,May-18,33948.45,15900.45,,,
Atsugi,3078,Corner Pocket 401401,Jun-18,25373.05,20298.45,,,
Atsugi,3078,Corner Pocket 401401,Jul-18,4073.20,13651.65,,,
Atsugi,3078,Corner Pocket 401401,Aug-18,50105.70,29691.40,,,
Atsugi,3078,Corner Pocket 401401,Sep-18,29853.25,23882.60,297444.45,236471.95,
Atsugi,3078,Corner Pocket 401401,Oct-18,31599.05,29324.65,,,
Atsugi,3078,Corner Pocket 401401,Nov-18,33030.90,22379.35,,,
Atsugi,3078,Corner Pocket 401401,Dec-18,18657.50,21520.70,,,
Atsugi,3078,Corner Pocket 401401,Jan-19,48165.75,31937.90,,,
Atsugi,3078,Corner Pocket 401401,Feb-19,14080.50,11264.40,,,
Atsugi,3078,Corner Pocket 401401,Mar-19,28002.80,22402.25,,,
Atsugi,3078,Corner Pocket 401401,Apr-19,43037.25,34429.80,,,
Atsugi,3078,Corner Pocket 401401,May-19,27268.75,21815.00,,,
Atsugi,3078,Corner Pocket 401401,Jun-19,31810.75,25448.60,,,
Atsugi,3078,Corner Pocket 401401,Jul-19,22382.75,20114.20,,,
Atsugi,3078,Corner Pocket 401401,Aug-19,51548.25,39030.60,,,
Atsugi,3078,Corner Pocket 401401,Sep-19,21695.95,17356.75,371280.20,297024.20,
Atsugi,3078,Corner Pocket 401401,Oct-19,15311.00,12248.80,,,
Atsugi,3078,Corner Pocket 401401,Nov-19,26736.95,21389.55,,,
Atsugi,3078,Corner Pocket 401401,Dec-19,14689.35,18114.50,,,
Atsugi,3078,Corner Pocket 401401,Jan-20,56622.25,38934.80,,,
Atsugi,3078,Corner Pocket 401401,Feb-20,3861.45,3089.15,,,
Atsugi,3078,Corner Pocket 401401,Mar-20,31023.45,24818.75,,,
Atsugi,3078,Corner Pocket 401401,Apr-20,,,,,
Atsugi,3078,Corner Pocket 401401,May-20,,,,,
Atsugi,3078,Corner Pocket 401401,Jun-20,,,,,
Atsugi,3078,Corner Pocket 401401,Jul-20,26474.00,21179.20,,,
Atsugi,3078,Corner Pocket 401401,Aug-20,18685.50,14948.40,,,
Atsugi,3078,Corner Pocket 401401,Sep-20,45057.85,36046.30,238461.80,190769.45,
Atsugi,3078,Corner Pocket 401401,Oct-20,24531.75,19625.40,,,
Atsugi,3078,Corner Pocket 401401,Nov-20,11608.60,11851.65,,,
Atsugi,3078,Corner Pocket 401401,Dec-20,3206.00,,,,
Atsugi,3078,Corner Pocket 401401,Jan-21,4586.40,3669.10,,,
Atsugi,3078,Corner Pocket 401401,Feb-21,17570.05,14056.05,,,
Atsugi,3078,Corner Pocket 401401,Mar-21,25636.50,20509.20,,,
Atsugi,3078,Corner Pocket 401401,Apr-21,30405.20,24324.20,,,
Atsugi,3078,Corner Pocket 401401,May-21,26758.60,22814.65,,,
Atsugi,3078,Corner Pocket 401401,Jun-21,(1157.65),22305.55,,,
Atsugi,3078,Corner Pocket 401401,Jul-21,43658.15,10287.10,,,
Atsugi,3078,Corner Pocket 401401,Aug-21,13913.90,11131.10,,,
Atsugi,3078,Corner Pocket 401401,Sep-21,31798.00,25438.40,232515.50,186012.40,
Atsugi,3078,Corner Pocket 401401,Oct-21,18174.30,14539.45,,,
Atsugi,3078,Corner Pocket 401401,Nov-21,-371.35,1976.10,,,
Atsugi,3078,Corner Pocket 401401,Dec-21,28011.40,20135.95,,,
Atsugi,3078,Corner Pocket 401401,Jan-22,135,70.4,10856.30,,
Atsugi,3078,Corner Pocket 401401,Feb-22,305,87.9,24470.30,,
Atsugi,3078,Corner Pocket 401401,Mar-22,891,0.2,7128.15,,
Atsugi,3078,Corner Pocket 401401,Apr-22,10903.60,8722.90,,,
Atsugi,3078,Corner Pocket 401401,May-22,480,1,3840.80,,
Atsugi,3078,Corner Pocket 401401,Jun-22,312,98.9,25039.10,,
Atsugi,3078,Corner Pocket 401401,Jul-22,7473.50,5978.80,,,
Atsugi,3078,Corner Pocket 401401,Aug-22,13116.30,10493.05,,,
Atsugi,3078,Corner Pocket 401401,Sep-22,23166.90,18533.50,189643.05,151714.40,
Atsugi,3078,Corner Pocket 401401,Oct-22,14944.50,11955.60,,,
Atsugi,3078,Corner Pocket 401401,Nov-22,7218.20,5774.55,,,
Atsugi,3078,Corner Pocket 401401,Dec-22,13259.55,10607.65,,,
Atsugi,3078,Corner Pocket 401401,Jan-23,17208.45,13766.75,,,
Atsugi,3078,Corner Pocket 401401,Feb-23,(16406.00),,,,
Atsugi,3078,Corner Pocket 401401,Mar-23,16406.00,,,,
Atsugi,3078,Corner Pocket 401401,Apr-23,,,,,
Atsugi,3078,Corner Pocket 401401,May-23,1172.50,938.00,,,
Atsugi,3078,Corner Pocket 401401,Jun-23,17400.90,13920.75,,,
Atsugi,3078,Corner Pocket 401401,Jul-23,10306.80,14874.80,,,
Atsugi,3078,Corner Pocket 401401,Aug-23,27188.65,15121.55,,,
Atsugi,3078,Corner Pocket 401401,Sep-23,31243.59,22965.05,139943.14,109924.70,
Atsugi,3078,Corner Pocket 401401,Oct-23,23776.00,19660.80,,,
