Country,Installation,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY23 thru SEP,ANNUALIZED FY23,ANNUALIZED FY24
Korea,Chin Hae $,130218.85,128157.5,247089.3,276261.7,277002.15,222094.95,104509.7,222094.95,222094.95,179159.49
Malaysia,Singapore,155803.95,214821.7,23179.05,,41720.35,37650.2,16305.4,37650.2,37650.2,27952.11
Japan,Okinawa,302532.15,317370.75,226868.4,314512.55,323246.4,291592.4,271451.0,291592.4,291592.4,465344.57
Japan,New Sanno Hotel,703721.6,724738.45,517065.95,293880.4,785196.45,792149.65,644614.4,792149.65,792149.65,1105053.26
Japan,Atsugi,909859.05,1091262.75,870871.05,1193010.85,867289.85,990602.15,622236.3,990602.15,990602.15,1066690.8
Japan,Sasebo,1712121.55,1558503.75,1401362.4,2001625.95,1986058.7,1789479.55,1070426.35,1789479.55,1789479.55,1835016.6
Japan,Yokosuka,3676224.15,4096874.4,2783059.7,3470057.2,4477661.75,4489900.3,2681911.4,4489900.3,4489900.3,4597562.4
Italy,Naples,705632.4,692151.2,417257.0,251802.2,742852.05,957935.75,666543.75,957935.75,957935.75,1142646.43
Italy,Sigonella,446035.73,436141.25,305833.58,381040.65,496801.85,521201.65,376562.35,521201.65,521201.65,645535.46
Spain,Rota,622717.95,700480.15,421862.9,536806.11,713390.8,658975.4,472515.6,658975.4,658975.4,810026.74
Greece,Souda Bay,107511.2,63737.6,41223.0,,29308.35,88497.3,61335.35,88497.3,88497.3,105146.31
