Country,Installation,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY23 thru SEP,ANNUALIZED FY23,ANNUALIZED FY24
Korea,Chin Hae $,186026.95,178352.1,357443.06,375058.45,400476.4,309459.42,157027.3,309459.42,309459.42,269189.66
Malaysia,Singapore,222577.0,306888.0,33112.95,-30.5,59631.0,53384.2,23188.45,53384.2,53384.2,39751.63
Japan,Okinawa,380989.25,395305.7,280698.3,389365.2,384308.95,354547.74,331033.25,354547.74,354547.74,567485.57
Japan,New Sanno Hotel,888156.3,902217.9,651836.1,367350.55,971662.15,998045.17,810238.15,998045.17,998045.17,1388979.69
Japan,Atsugi,1139178.4,1364078.3,1083616.25,1496235.9,1084112.55,1236282.94,774191.2,1236282.94,1236282.94,1327184.91
Japan,Sasebo,2139203.34,1930593.41,1772062.7,2481868.6,2468529.5,2176953.62,1353122.75,2176953.62,2176953.62,2319639.0
Japan,Yokosuka,4319686.0,4810613.27,3290195.85,4052650.5,5273958.35,5170637.21,3155148.55,5170637.21,5170637.21,5408826.09
Italy,Naples,1010641.2,988787.35,588654.0,357618.25,1043952.36,1394530.52,904989.85,1394530.52,1394530.52,1551411.17
Italy,Sigonella,633632.05,619353.05,443036.55,545737.9,709716.65,729813.55,521716.79,729813.55,729813.55,894371.64
Spain,Rota,889084.8,990879.9,615590.65,756131.05,1015218.1,927073.87,652325.9,927073.87,927073.87,1118272.97
Greece,Souda Bay,153587.45,91053.7,58890.0,,41869.05,127717.88,86500.65,127717.88,127717.88,148286.83
