Page,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI
2,3163,Camp Mujuk Center,Oct-17,844.0,675.2,,
2,3163,Camp Mujuk Center,Nov-17,1048.0,838.4,,
2,3163,Camp Mujuk Center,Dec-17,700.0,560.0,,
2,3163,Camp Mujuk Center,Jan-18,32.0,25.6,,
2,3163,Camp Mujuk Center,Feb-18,238.95,191.15,,
2,3163,Camp Mujuk Center,Mar-18,1492.0,1193.6,,
2,3163,Camp Mujuk Center,May-18,788.75,631.0,,
2,3163,Camp Mujuk Center,Jun-18,345.0,276.0,,
2,3163,Camp Mujuk Center,Sep-18,329.0,263.2,7014.0,5611.2
2,3163,Camp Mujuk Center,Oct-18,10.0,8.0,,
2,3163,Camp Mujuk Center,Nov-18,343.0,274.4,,
2,3163,Camp Mujuk Center,Dec-18,836.0,668.8,,
2,3163,Camp Mujuk Center,Jan-19,279.85,223.88,,
2,3163,Camp Mujuk Center,Sep-19,1468.85,1175.08,8087.1,6469.679999999999
3,1127,Road House 400201,May-15,,,,
3,1127,Road House 400201,Jun-15,,,,
3,1127,Road House 400201,Sep-15,2499.75,1999.8,2499.75,1999.8
3,1127,Road House 400201,Oct-15,664.48,758.4,,
3,1127,Road House 400201,Nov-15,2375.49,2091.8,,
3,1127,Road House 400201,Dec-15,1066.0,852.8,,
3,1127,Road House 400201,Jan-16,-2293.64,875.2,,
3,1127,Road House 400201,Feb-16,10358.82,7571.85,,
3,1127,Road House 400201,Mar-16,14303.32,11041.6,,
3,1127,Road House 400201,Apr-16,3961.36,3276.0,,
3,1127,Road House 400201,May-16,4516.04,4191.2,,
3,1127,Road House 400201,Jun-16,17113.31,16008.4,,
3,1127,Road House 400201,Jul-16,6176.65,3540.0,,
3,1127,Road House 400201,Aug-16,6291.27,4649.6,,
3,1127,Road House 400201,Sep-16,3710.13,5741.45,94130.71,80113.45
3,1127,Road House 400201,Oct-16,16841.09,10325.45,,
3,1127,Road House 400201,Nov-16,2851.92,2982.75,,
3,1127,Road House 400201,Dec-16,11259.97,7028.95,,
3,1127,Road House 400201,Jan-17,8183.8,6547.05,,
3,1127,Road House 400201,Feb-17,3458.07,1968.0,,
3,1127,Road House 400201,Mar-17,16111.58,12285.5,,
3,1127,Road House 400201,Apr-17,13435.79,11106.8,,
3,1127,Road House 400201,May-17,10766.57,8229.6,,
3,1127,Road House 400201,Jun-17,2589.5,2071.6,,
3,1127,Road House 400201,Jul-17,7855.0,6284.0,,
3,1127,Road House 400201,Aug-17,11401.9,9121.5,,
3,1127,Road House 400201,Sep-17,8676.8,6941.45,116885.9,92853.95
3,1127,Road House 400201,Oct-17,3382.0,2705.6,,
3,1127,Road House 400201,Nov-17,1130.0,904.0,,
3,1127,Road House 400201,Dec-17,2106.0,1684.8,,
3,1127,Road House 400201,Jan-18,8289.0,6631.2,,
3,1127,Road House 400201,Feb-18,1592.55,1274.05,,
3,1127,Road House 400201,Mar-18,1657.0,1325.6,,
3,1127,Road House 400201,Apr-18,10128.25,8102.6,,
3,1127,Road House 400201,May-18,6475.0,5180.0,,
3,1127,Road House 400201,Jun-18,1801.2,1440.95,,
3,1127,Road House 400201,Jul-18,8469.55,6775.65,,
3,1127,Road House 400201,Aug-18,6293.95,5035.15,,
4,1127,Road House 400201,Sep-18,3145.0,2516.0,72625.9,58100.7
4,1127,Road House 400201,Oct-18,2367.0,1893.6,,
4,1127,Road House 400201,Nov-18,3841.35,3073.1,,
4,1127,Road House 400201,Dec-18,6408.0,5126.4,,
4,1127,Road House 400201,Jan-19,1372.0,1097.6,,
4,1127,Road House 400201,Feb-19,9119.45,7295.55,,
4,1127,Road House 400201,Mar-19,-9379.55,7480.8,,
4,1127,Road House 400201,May-19,7355.0,5884.0,,
4,1127,Road House 400201,Jun-19,3639.7,2995.5,,
4,1127,Road House 400201,Aug-19,21229.1,1928.8,,
4,1127,Road House 400201,Sep-19,-287.0,863.45,45665.05,37638.8
4,1127,Road House 400201,Oct-19,1810.0,1448.0,,
4,1127,Road House 400201,Nov-19,65.0,52.0,,
4,1127,Road House 400201,Dec-19,853.0,682.4,,
4,1127,Road House 400201,Jan-20,1453.0,1162.4,,
4,1127,Road House 400201,Feb-20,825.0,660.0,,
4,1127,Road House 400201,Mar-20,399.25,319.4,,
4,1127,Road House 400201,Jul-20,4244.0,3395.2,,
4,1127,Road House 400201,Aug-20,2505.0,2004.0,,
4,1127,Road House 400201,Sep-20,1685.0,1348.0,13839.25,11071.4
5,1097,Schwab BC,Oct-13,6180.69,4958.0,,
5,1097,Schwab BC,Nov-13,5129.75,4103.8,,
5,1097,Schwab BC,Dec-13,146.85,117.5,,
5,1097,Schwab BC,Jan-14,5289.73,4004.0,,
5,1097,Schwab BC,Feb-14,3041.0,2432.8,,
5,1097,Schwab BC,Mar-14,8440.0,6752.0,,
5,1097,Schwab BC,Apr-14,6883.0,5506.4,,
5,1097,Schwab BC,May-14,9080.0,7264.0,,
5,1097,Schwab BC,Jun-14,-599.15,588.3,,
5,1097,Schwab BC,Jul-14,3805.95,1977.15,,
5,1097,Schwab BC,Aug-14,5700.0,4560.0,,
5,1097,Schwab BC,Sep-14,4624.2,3699.35,57722.02,45963.3
5,1097,Schwab BC,Oct-14,1568.0,1254.4,,
5,1097,Schwab BC,Nov-14,4708.6,3766.9,,
5,1097,Schwab BC,Dec-14,1657.4,1325.9,,
5,1097,Schwab BC,Jan-15,1025.2,820.15,,
5,1097,Schwab BC,Feb-15,3208.0,2566.4,,
5,1097,Schwab BC,Mar-15,2144.95,1715.95,,
5,1097,Schwab BC,Apr-15,2960.0,2368.0,,
5,1097,Schwab BC,Jun-15,5248.3,4198.65,,
5,1097,Schwab BC,Jul-15,1337.0,1069.6,,
5,1097,Schwab BC,Aug-15,2432.8,1946.25,,
5,1097,Schwab BC,Sep-15,26290.25,21032.2,51866.05,41492.9
5,2394,Beach Head 400501,Oct-13,14667.81,12152.45,,
5,2394,Beach Head 400501,Nov-13,12430.25,9944.2,,
5,2394,Beach Head 400501,Dec-13,31218.75,24975.0,,
5,2394,Beach Head 400501,Jan-14,37935.14,25827.55,,
5,2394,Beach Head 400501,Feb-14,17453.9,13963.15,,
5,2394,Beach Head 400501,Mar-14,21660.05,17328.05,,
5,2394,Beach Head 400501,Apr-14,9157.1,8374.3,,
5,2394,Beach Head 400501,May-14,35056.3,26996.45,,
5,2394,Beach Head 400501,Jun-14,27320.6,21856.45,,
5,2394,Beach Head 400501,Jul-14,10540.3,8432.25,,
5,2394,Beach Head 400501,Aug-14,21771.5,18726.2,,
5,2394,Beach Head 400501,Sep-14,24952.5,18653.0,264164.2,207229.05
5,2394,Beach Head 400501,Oct-14,7804.85,9256.2,,
5,2394,Beach Head 400501,Nov-14,8296.2,8384.85,,
5,2394,Beach Head 400501,Dec-14,22006.8,12845.2,,
5,2394,Beach Head 400501,Jan-15,12004.45,10924.7,,
5,2394,Beach Head 400501,Feb-15,18324.85,13338.75,,
5,2394,Beach Head 400501,Mar-15,11526.1,9220.9,,
6,2394,Beach Head 400501,Apr-15,9893.75,7915.0,,
6,2394,Beach Head 400501,May-15,14280.55,11424.45,,
6,2394,Beach Head 400501,Jun-15,18915.75,15132.6,,
6,2394,Beach Head 400501,Jul-15,20672.3,16537.85,,
6,2394,Beach Head 400501,Aug-15,15024.35,12019.5,,
