Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Ansbach,Action Lanes,October,2019,59201,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,November,2019,35460,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,December,2019,46220,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,January,2020,-3084,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,February,2020,44116,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,March,2020,37220,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,April,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,May,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,June,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,July,2020,18656,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,August,2020,7642,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,September,2020,27383,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,October,2019,10875,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,November,2019,8793,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,December,2019,20853,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,January,2020,8978,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,February,2020,27714,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,March,2020,15558,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,April,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,May,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,June,2020,0,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,July,2020,-1045,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,August,2020,3922,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,September,2020,1990,49.300425,10.571936
Army,Revenue,Europe,Baumholder,Strikers,October,2019,60666,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,November,2019,52445,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,December,2019,50635,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,January,2020,46799,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,February,2020,44816,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,March,2020,80374,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,April,2020,0,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,May,2020,0,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,June,2020,3546,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,July,2020,21368,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,August,2020,52127,49.613889,7.333333
