Installation,Loc#,Location,Month,Revenue,NAFI Amount,Annual Revenue,Annual NAFI,Status
Atsugi,3078,Corner Pocket 401401,12-Oct,9341.5,9218.5,,,
Atsugi,3078,Corner Pocket 401401,12-Nov,60167.05,46388.35,,,
Atsugi,3078,Corner Pocket 401401,12-Dec,60272,48217.6,,,
Atsugi,3078,Corner Pocket 401401,13-Jan,67270.45,53816.35,,,
Atsugi,3078,Corner Pocket 401401,13-Feb,39499,31599.2,,,
Atsugi,3078,Corner Pocket 401401,13-Mar,34453.4,27562.7,,,
Atsugi,3078,Corner Pocket 401401,13-Apr,35871.6,28697.3,,,
Atsugi,3078,Corner Pocket 401401,13-May,35786.35,28629.1,,,
Atsugi,3078,Corner Pocket 401401,13-Jun,37479.95,29983.95,,,
Atsugi,3078,Corner Pocket 401401,13-Jul,16870.05,13496.05,,,
Atsugi,3078,Corner Pocket 401401,13-Aug,22917.35,18333.85,,,
Atsugi,3078,Corner Pocket 401401,13-Sep,15328.25,12262.6,435256.95,348205.55,
Atsugi,3078,Corner Pocket 401401,13-Oct,26508.5,21206.8,,,
Atsugi,3078,Corner Pocket 401401,13-Nov,15731,12584.8,,,
Atsugi,3078,Corner Pocket 401401,13-Dec,60466.4,48373.1,,,
Atsugi,3078,Corner Pocket 401401,14-Jan,95591.72,79283,,,
Atsugi,3078,Corner Pocket 401401,14-Feb,76148.12,65327.3,,,
Atsugi,3078,Corner Pocket 401401,14-Mar,89180.1,71344.1,,,
Atsugi,3078,Corner Pocket 401401,14-Apr,95163.1,78940.95,,,
Atsugi,3078,Corner Pocket 401401,14-May,130371.16,101820.8,,,
Atsugi,3078,Corner Pocket 401401,14-Jun,66620.05,53296.05,,,
Atsugi,3078,Corner Pocket 401401,14-Jul,87451.79,76386.05,,,
Atsugi,3078,Corner Pocket 401401,14-Aug,79942.55,61457.7,,,
Atsugi,3078,Corner Pocket 401401,14-Sep,76682.48,64419.75,899856.97,734440.4,
Atsugi,3078,Corner Pocket 401401,14-Oct,92209.86,69540.35,,,
Atsugi,3078,Corner Pocket 401401,14-Nov,75628.77,62032.4,,,
Atsugi,3078,Corner Pocket 401401,14-Dec,82820.95,65507.65,,,
Atsugi,3078,Corner Pocket 401401,15-Jan,75962.87,61746.85,,,
Atsugi,3078,Corner Pocket 401401,15-Feb,71693.79,63483.45,,,
Atsugi,3078,Corner Pocket 401401,15-Mar,88596.42,67815.5,,,
Atsugi,3078,Corner Pocket 401401,15-Apr,114191.05,92738.6,,,
