EGM Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Total by Age,Month
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nov-21
4,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,18,Nov-21
5,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,Nov-21
6,10,17,9,3,1,0,1,0,0,0,0,0,0,0,0,41,Nov-21
7,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,13,Nov-21
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Nov-21
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Nov-21
12,10,3,3,3,0,0,0,0,0,0,0,0,0,0,0,19,Nov-21
13,21,16,9,5,0,0,0,0,0,0,0,0,0,0,0,51,Nov-21
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nov-21
15,6,5,2,5,0,0,0,0,0,0,0,0,0,0,0,18,Nov-21
16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Nov-21
17,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,19,Nov-21
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nov-21
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nov-21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nov-21
Totals_By,,,,,,,,,,,,,,,,0,Nov-21
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Nov-21
Mini_Values,5,2,2,17,4,19,17,2,1,17,7,8,,,,101,Nov-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dec-21
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Dec-21
4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,20,Dec-21
5,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,15,Dec-21
6,9,17,8,4,1,0,1,0,0,0,0,0,0,0,0,40,Dec-21
7,13,3,1,1,1,0,0,0,0,0,0,0,0,0,0,19,Dec-21
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Dec-21
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
12,9,7,3,3,0,0,0,0,0,0,0,0,0,0,0,22,Dec-21
13,19,17,5,4,5,0,0,0,0,0,0,0,0,0,0,50,Dec-21
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dec-21
15,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,12,Dec-21
16,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,12,Dec-21
17,15,6,1,1,0,0,0,0,0,0,0,0,0,0,0,23,Dec-21
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dec-21
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dec-21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dec-21
Totals_By,,,,,,,,,,,,,,,,0,Dec-21
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Dec-21
Mini_Values,2,2,15,4,19,17,2,1,16,7,5,14,,,,104,Dec-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jan-22
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Jan-22
4,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,17,Jan-22
5,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,14,Jan-22
6,9,17,6,6,1,0,1,0,0,0,0,0,0,0,0,40,Jan-22
7,13,3,1,1,1,0,0,0,0,0,0,0,0,0,0,19,Jan-22
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Jan-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
12,9,8,3,3,0,0,0,0,0,0,0,0,0,0,0,23,Jan-22
13,19,18,5,4,5,0,0,0,0,0,0,0,0,0,0,51,Jan-22
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jan-22
15,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,Jan-22
16,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,10,Jan-22
17,18,6,2,1,0,0,0,0,0,0,0,0,0,0,0,27,Jan-22
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jan-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jan-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-22
Totals_By,,,,,,,,,,,,,,,,0,Jan-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Jan-22
Mini_Values,2,17,4,19,17,2,1,16,3,6,9,4,,,,100,Jan-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Feb-22
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Feb-22
4,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,19,Feb-22
5,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,15,Feb-22
6,10,16,4,6,0,0,1,0,0,0,0,0,0,0,0,37,Feb-22
7,11,4,1,3,2,0,0,0,0,0,0,0,0,0,0,21,Feb-22
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Feb-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
12,8,8,2,3,0,0,0,0,0,0,0,0,0,0,0,21,Feb-22
13,12,13,5,5,5,0,0,0,0,0,0,0,0,0,0,40,Feb-22
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Feb-22
15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,Feb-22
16,2,5,1,5,0,0,0,0,0,0,0,0,0,0,0,13,Feb-22
17,14,6,2,1,0,0,0,0,0,0,0,0,0,0,0,23,Feb-22
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feb-22
Totals_By,,,,,,,,,,,,,,,,0,Feb-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Feb-22
Mini_Values,15,4,19,2,3,1,15,4,4,10,4,6,,,,87,Feb-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar-22
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mar-22
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Mar-22
4,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,15,Mar-22
5,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,Mar-22
6,12,10,6,2,0,0,1,0,0,0,0,0,0,0,0,31,Mar-22
7,14,8,1,6,3,0,0,0,0,0,0,0,0,0,0,32,Mar-22
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Mar-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar-22
10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Mar-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar-22
12,1,15,2,3,0,0,0,0,0,0,0,0,0,0,0,21,Mar-22
13,8,18,5,5,5,0,0,0,0,0,0,0,0,0,0,41,Mar-22
