Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337877,60,NOV CONCURVE ED 4,3092,10/13/2017,7/28/2021,337877-735489,5,October 2022,,,5
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338197,70,M3T ACK,9008,8/6/2022,8/6/2022,338197-222011248,0,October 2022,,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338137,70,M3T ACK,9008,8/6/2022,8/6/2022,338137-222011244,14,October 2022,13,13,14
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338195,70,M3T ACK,9008,8/6/2022,8/6/2022,338195-222011246,8,October 2022,8,8,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338196,70,M3T ACK,9008,8/6/2022,8/6/2022,338196-222011247,1,October 2022,0,0,1
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337591,70,M3T ACK,9008,8/6/2022,8/6/2022,337591-222011243,2,October 2022,0,0,2
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338198,70,M3T ACK,9008,8/6/2022,8/6/2022,338198-222011249,3,October 2022,3,3,3
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338199,70,M3T ACK,9008,8/6/2022,8/6/2022,338199-222011250,7,October 2022,3,3,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338200,70,M3T ACK,9008,8/6/2022,8/6/2022,338200-222011251,13,October 2022,4,4,13
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338956,60,IGT UNIV SLANT GAME KING 4.0,1980,1/9/2019,8/27/2022,338956-2456968,12,October 2022,3,3,12
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337590,70,M3T ACK,9008,8/6/2022,8/6/2022,337590-222011242,28,October 2022,1,1,28
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338955,60,IGT UNIV SLANT GAME KING 4.0,1980,1/9/2019,8/27/2022,338955-2456967,6,October 2022,1,1,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333419,70,ITC Smart Card Dispenser,1018,10/28/2003,10/11/2019,333419-23737,9,October 2022,19,19,9
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130620,740,IBM SUREPOS 4852,2038,10/15/2010,5/5/2021,130620-41D3295,4,October 2022,1,1,4
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333896,60,IGT GAME KING CL IFACE 210,228,11/9/2004,5/9/2021,333896-1406883,11,October 2022,17,17,11
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,334117,60,IGT GAME KING CL IFACE 210,228,1/13/2005,1/4/2020,334117-1406859,4,October 2022,3,3,4
