FONUM,Location,Open,Closed,CountA,CountB,Service,CountC,Region2,CountD,Country,SiteCode,Code,Person,DuplicateName,Occupancy,RegionCode,Fields,Month
1881,LIBERTY GAMES,3/26/2013,8/8/8888,130,13,Army,47,WIESBADEN,2,Europe,WB02,E0,(KASTEL KLUB),Dave,LIBERTY GAMES,20% Wiesbaden,1881 LIBERTY GAMES|Floor|3/26/2013 8/8/8888|130|13 Army|47 WIESBADEN|2 Europe|WB02|E0|(KASTEL KLUB)|Dave|LIBERTY GAMES|20% Wiesbaden|WIE,October 2022
2317,WEST PAC LODGE,4/24/2002,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK13,J0,Dave,WEST PAC LODGE,80% USMC Okinawa,OKI,2317 WEST PAC LODGE|Floor|4/24/2002 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK13|J0|Dave|WEST PAC LODGE|80% USMC Okinawa|OKI,October 2022
2394,BEACH HEAD,12/9/2002,8/8/8888,280,28,Marine Corps,26,OKINAWA,5,Japan,OK01,J0,Dave,BEACH HEAD,80% USMC Okinawa,OKI,2394 BEACH HEAD|Floor|12/9/2002 8/8/8888|280|28 Marine Corps|26 OKINAWA|5 Japan|OK01|J0|Dave|BEACH HEAD|80% USMC Okinawa|OKI,October 2022
2489,EDELWEISS LODGE & RESORT,5/26/2004,8/8/8888,60,6,Army,10,GARMISCH,2,Europe,GA01,E0,Dave,EDELWEISS,20% Edelweiss Lodge & Resort,GAR,2489 EDELWEISS LODGE & RESORT|Floor|5/26/2004 8/8/8888|60|6 Army|10 GARMISCH|2 Europe|GA01|E0|Dave|EDELWEISS|20% Edelweiss Lodge & Resort|GAR,October 2022
2521,TURTLE COVE,9/2/2010,8/8/8888,200,20,Navy,21,DAEGU,4,Korea,DA05,K0,Dave,TURTLE COVE,70% Chinhae,DAE,2521 TURTLE COVE|Floor|9/2/2010 8/8/8888|200|20 Navy|21 DAEGU|4 Korea|DA05|K0|Dave|TURTLE COVE|70% Chinhae|DAE,October 2022
2523,CROW'S NEST,12/22/2004,8/8/8888,290,29,Navy,26,OKINAWA,5,Japan,OK04,J0,Dave,CROW'S NEST,80% USN Okinawa,OKI,2523 CROW'S NEST|Floor|12/22/2004 8/8/8888|290|29 Navy|26 OKINAWA|5 Japan|OK04|J0|Dave|CROW'S NEST|80% USN Okinawa|OKI,October 2022
2525,PORT CALL,12/22/2004,8/8/8888,290,29,Navy,26,OKINAWA,5,Japan,OK10,J0,Dave,PORT CALL,80% USN Okinawa,OKI,2525 PORT CALL|Floor|12/22/2004 8/8/8888|290|29 Navy|26 OKINAWA|5 Japan|OK10|J0|Dave|PORT CALL|80% USN Okinawa|OKI,October 2022
2588,CAPO OLDE TOWN SLOTS,10/4/2007,8/8/8888,90,9,Navy,42,NAPLES,2,Europe,NA01,E0,Dave,CAPO OLDE TOWN,70% NAPLES,NAP,2588 CAPO OLDE TOWN SLOTS|Floor|10/4/2007 8/8/8888|90|9 Navy|42 NAPLES|2 Europe|NA01|E0|Dave|CAPO OLDE TOWN|70% NAPLES|NAP,October 2022
2591,NAPLES B/C,10/9/2007,8/8/8888,90,9,Navy,42,NAPLES,2,Europe,NA02,E0,Dave,NAPLES B/C,70% NAPLES,NAP,2591 NAPLES B/C|Floor|10/9/2007 8/8/8888|90|9 Navy|42 NAPLES|2 Europe|NA02|E0|Dave|NAPLES B/C|70% NAPLES|NAP,October 2022
2595,SIG B/C,5/8/2007,8/8/8888,80,8,Navy,40,SIGONELLA,2,Europe,SN02,E0,Dave,SIG B/C,70% SIGONELLA,SIG,2595 SIG B/C|Floor|5/8/2007 8/8/8888|80|8 Navy|40 SIGONELLA|2 Europe|SN02|E0|Dave|SIG B/C|70% SIGONELLA|SIG,October 2022
2597,JOX SPORTS BAR,5/8/2007,8/8/8888,80,8,Navy,40,SIGONELLA,2,Europe,SN01,E0,Dave,JOX SPORTS BAR,70% SIGONELLA,SIG,2597 JOX SPORTS BAR|Floor|5/8/2007 8/8/8888|80|8 Navy|40 SIGONELLA|2 Europe|SN01|E0|Dave|JOX SPORTS BAR|70% SIGONELLA|SIG,October 2022
2600,LA PLAZA,11/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT02,E0,Fast Close Aug21/Temp,Dave,LA PLAZA,70% ROTA,2600 LA PLAZA|Floor|11/1/2015 8/8/8888|100|10 Navy|43 ROTA|2 Europe|RT02|E0|Fast Close Aug21/Temp|Dave|LA PLAZA|70% ROTA|RTA,October 2022
2601,PINZ,12/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT04,E0,Fast Close Aug21/Temp,Dave,PINZ,70% ROTA,2601 PINZ|Floor|12/1/2015 8/8/8888|100|10 Navy|43 ROTA|2 Europe|RT04|E0|Fast Close Aug21/Temp|Dave|PINZ|70% ROTA|RTA,October 2022
2605,ROTA FLEET CTR,1/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT03,E0,Dave,ROTA FLEET CTR,70% ROTA,RTA,2605 ROTA FLEET CTR|Floor|1/1/2015 8/8/8888|100|10 Navy|43 ROTA|2 Europe|RT03|E0|Dave|ROTA FLEET CTR|70% ROTA|RTA,October 2022
2618,THE ANCHOR,12/1/2015,8/8/8888,70,7,Navy,39,SOUDA BAY,2,Europe,SB01,E0,ReOpen Mar22 as The Anchor,Dave,THE ANCHOR,70% Souda Bay,2618 THE ANCHOR|Floor|12/1/2015 8/8/8888|70|7 Navy|39 SOUDA BAY|2 Europe|SB01|E0|ReOpen Mar22 as The Anchor|Dave|THE ANCHOR|70% Souda Bay|SBY,October 2022
2664,SANNO HOTEL,8/25/2006,8/8/8888,260,26,Navy,22,ZAMA,5,Japan,ZA06,J0,Dave,SANNO HOTEL,80% New Sanno,ZAM,2664 SANNO HOTEL|Floor|8/25/2006 8/8/8888|260|26 Navy|22 ZAMA|5 Japan|ZA06|J0|Dave|SANNO HOTEL|80% New Sanno|ZAM,October 2022
2887,ROB JAVA CAFE,6/1/2013,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA04,E0,Dave,ROB JAVA CAFE,20% Rheinland Pfalz,KAI,2887 ROB JAVA CAFE|Floor|6/1/2013 8/8/8888|320|32 Army|2 KAISERSLAUTERN|2 Europe|KA04|E0|Dave|ROB JAVA CAFE|20% Rheinland Pfalz|KAI,October 2022
2890,NGIS ROTA,3/24/2008,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT01,E0,Dave,NGIS ROTA,70% ROTA,RTA,2890 NGIS ROTA|Floor|3/24/2008 8/8/8888|100|10 Navy|43 ROTA|2 Europe|RT01|E0|Dave|NGIS ROTA|70% ROTA|RTA,October 2022
2895,THE ARENA B/C,4/17/2008,8/8/8888,30,3,Army,4,VICENZA,‎,,2 Europe,VZ03,E0,Dave,ARENA B/C,20% Vicenza,2895 THE ARENA B/C|Floor|4/17/2008 8/8/8888|30|3 Army|4 VICENZA|‎|2 Europe|VZ03|E0|Dave|ARENA B/C|20% Vicenza|VIC,October 2022
2976,WIESBADEN ENT CTR,7/2/2010,8/8/8888,130,13,Army,47,WIESBADEN,2,Europe,WB04,E0,SMS Sep2019,Dave,WIESBADEN E/C,20% Wiesbaden,2976 WIESBADEN ENT CTR|Floor|7/2/2010 8/8/8888|130|13 Army|47 WIESBADEN|2 Europe|WB04|E0|SMS Sep2019|Dave|WIESBADEN E/C|20% Wiesbaden|WIE,October 2022
3072,SEMBACH C/C,7/5/2012,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA05,E0,Dave,SEMBACH C/C,20% Rheinland Pfalz,KAI,3072 SEMBACH C/C|Floor|7/5/2012 8/8/8888|320|32 Army|2 KAISERSLAUTERN|2 Europe|KA05|E0|Dave|SEMBACH C/C|20% Rheinland Pfalz|KAI,October 2022
3078,CORNER POCKET,8/16/2012,8/8/8888,250,25,Navy,22,ZAMA,5,Japan,ZA04,J0,Dave,CORNER POCKET,80% USN Japan,ZAM,3078 CORNER POCKET|Floor|8/16/2012 8/8/8888|250|25 Navy|22 ZAMA|5 Japan|ZA04|J0|Dave|CORNER POCKET|80% USN Japan|ZAM,October 2022
3079,CLUB TRILOGY,7/20/2015,8/8/8888,250,25,Navy,22,ZAMA,5,Japan,ZA03,J0,Dave,CLUB TRILOGY,80% USN Japan,ZAM,3079 CLUB TRILOGY|Floor|7/20/2015 8/8/8888|250|25 Navy|22 ZAMA|5 Japan|ZA03|J0|Dave|CLUB TRILOGY|80% USN Japan|ZAM,October 2022
3096,HARBOR VIEW CLUB,12/1/2013,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA02,J0,Dave,HARBOR VIEW,80% USN SASEBO,SAS,3096 HARBOR VIEW CLUB|Floor|12/1/2013 8/8/8888|330|33 Navy|19 SASEBO|5 Japan|SA02|J0|Dave|HARBOR VIEW|80% USN SASEBO|SAS,October 2022
3097,HARIO,1/1/2014,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA03,J0,Dave,HARIO,80% USN SASEBO,SAS,3097 HARIO|Floor|1/1/2014 8/8/8888|330|33 Navy|19 SASEBO|5 Japan|SA03|J0|Dave|HARIO|80% USN SASEBO|SAS,October 2022
3098,GALAXIES,12/1/2013,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA01,J0,Dave,GALAXIES,80% USN SASEBO,SAS,3098 GALAXIES|Floor|12/1/2013 8/8/8888|330|33 Navy|19 SASEBO|5 Japan|SA01|J0|Dave|GALAXIES|80% USN SASEBO|SAS,October 2022
3108,ACE'S GAME ROOM,2/1/2014,8/8/8888,130,13,Army,47,WIESBADEN,2,Europe,WB01,E0,Dave,ACE'S GAME RM,20% Wiesbaden,WIE,3108 ACE'S GAME ROOM|Floor|2/1/2014 8/8/8888|130|13 Army|47 WIESBADEN|2 Europe|WB01|E0|Dave|ACE'S GAME RM|20% Wiesbaden|WIE,October 2022
3132,DEL DIN C/C,3/1/2014,8/8/8888,30,3,Army,4,VICENZA,‎,,2 Europe,VZ01,E0,Dave,DEL DIN C/C,20% Vicenza,3132 DEL DIN C/C|Floor|3/1/2014 8/8/8888|30|3 Army|4 VICENZA|‎|2 Europe|VZ01|E0|Dave|DEL DIN C/C|20% Vicenza|VIC,October 2022
3145,ALGIER R/C,5/1/2016,8/8/8888,120,12,Army,46,VILSECK,2,Europe,VK01,E0,Closed Aug 2021 for 9 Mos,Dave,ALGIER R/C,20% Bavaria,3145 ALGIER R/C|Floor|5/1/2016 8/8/8888|120|12 Army|46 VILSECK|2 Europe|VK01|E0|Closed Aug 2021 for 9 Mos|Dave|ALGIER R/C|20% Bavaria|VIL,October 2022
3146,YOKOSUKA B/C,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK06,J0,Dave,YOKOSUKA B/C,85% US Yokosuka,YOK,3146 YOKOSUKA B/C|Floor|10/1/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK06|J0|Dave|YOKOSUKA B/C|85% US Yokosuka|YOK,October 2022
3147,CLUB ALLIANCE,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK01,J0,Dave,CLUB ALLIANCE,85% US Yokosuka,YOK,3147 CLUB ALLIANCE|Floor|10/1/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK01|J0|Dave|CLUB ALLIANCE|85% US Yokosuka|YOK,October 2022
3148,CPO CLUB,5/24/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK02,J0,Dave,CPO CLUB,85% US Yokosuka,YOK,3148 CPO CLUB|Floor|5/24/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK02|J0|Dave|CPO CLUB|85% US Yokosuka|YOK,October 2022
3149,TAKEMIYA CLUB,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK05,J0,Dave,TAKEMIYA CLUB,85% US Yokosuka,YOK,3149 TAKEMIYA CLUB|Floor|10/1/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK05|J0|Dave|TAKEMIYA CLUB|85% US Yokosuka|YOK,October 2022
3150,OFFICERS CLUB,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK03,J0,Dave,OFFICERS CLUB,85% US Yokosuka,YOK,3150 OFFICERS CLUB|Floor|10/1/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK03|J0|Dave|OFFICERS CLUB|85% US Yokosuka|YOK,October 2022
3151,SEASIDE CLUB,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK04,J0,Temp Clsd 9/5/21,Dave,SEASIDE CLUB,85% US Yokosuka,3151 SEASIDE CLUB|Floor|10/1/2015 8/8/8888|350|35 Navy|18 YOKOSUKA|5 Japan|YK04|J0|Temp Clsd 9/5/21|Dave|SEASIDE CLUB|85% US Yokosuka|YOK,October 2022
3156,TERROR CLUB,5/1/2016,8/8/8888,360,36,Navy,17,SINGAPORE,4,Korea,SG01,K0,Dave,TERROR CLUB,85% USN Singapore,SNG,3156 TERROR CLUB|Floor|5/1/2016 8/8/8888|360|36 Navy|17 SINGAPORE|4 Korea|SG01|K0|Dave|TERROR CLUB|85% USN Singapore|SNG,October 2022
3158,MORNING CALM,9/15/2018,8/8/8888,180,78,Army,24,PYONGTAEK,4,Korea,PY04,K0,Dave,MORNING CALM,20% Camp Humphreys,PYO,3158 MORNING CALM|Floor|9/15/2018 8/8/8888|180|78 Army|24 PYONGTAEK|4 Korea|PY04|K0|Dave|MORNING CALM|20% Camp Humphreys|PYO,October 2022
3159,WHISPERS,4/1/2015,8/8/8888,290,29,Marine Corps,26,OKINAWA,5,Japan,OK14,J0,Dave,WHISPERS,85% USN Okinawa,OKI,3159 WHISPERS|Floor|4/1/2015 8/8/8888|290|29 Marine Corps|26 OKINAWA|5 Japan|OK14|J0|Dave|WHISPERS|85% USN Okinawa|OKI,October 2022
3164,TORII PINES TLF,12/15/2017,8/8/8888,270,27,Marine Corps,27,IWAKUNI,5,Japan,IW02,J0,Dave,TORII PINES TLF,80% USMC Iwakuni,IWK,3164 TORII PINES TLF|Floor|12/15/2017 8/8/8888|270|27 Marine Corps|27 IWAKUNI|5 Japan|IW02|J0|Dave|TORII PINES TLF|80% USMC Iwakuni|IWK,October 2022
