Date,AssetType,Balance,Category
2023-03-31,Cash--Operating,23822204.63,ASSETS
2023-03-31,Cash--Restricted,15448852.84,ASSETS
2023-03-31,Accounts Receivable,261378.56,ASSETS
2023-03-31,Prepaid Expenses,343049.36,ASSETS
2023-03-31,Fixed Assets,44371000.09,ASSETS
2023-03-31,Less Accum Depreciation,-32883183.68,ASSETS
2023-03-31,TOTAL ASSETS,51363301.80,ASSETS
2023-03-31,Accounts Payable,1923038.16,LIABILITIES
2023-03-31,Distributions Payable,1710797.93,LIABILITIES
2023-03-31,Accrued Liabilities,1403199.97,LIABILITIES
2023-03-31,Accrued Salaries,538023.11,LIABILITIES
2023-03-31,Accrued Leave Payable,555269.59,LIABILITIES
2023-03-31,Total Liabilities,6130328.76,LIABILITIES
2023-03-31,EQUITY,45232973.04,EQUITY
2023-03-31,TOTAL LIABILITIES & EQUITY,51363301.80,EQUITY
2020-01-31,Cash,28241642.00,ASSETS
2020-01-31,Accounts Receivable,157152.59,ASSETS
2020-01-31,Prepaid Expenses,377506.31,ASSETS
2020-01-31,Fixed Assets,45331635.43,ASSETS
2020-01-31,Less Accum Depreciation,-29704609.76,ASSETS
2020-01-31,TOTAL ASSETS,44403326.57,ASSETS
2020-01-31,Accounts Payable,833576.04,LIABILITIES
2020-01-31,Distributions Payable,1432593.11,LIABILITIES
2020-01-31,Accrued Liabilities,1361793.76,LIABILITIES
2020-01-31,Accrued Salaries,370138.33,LIABILITIES
2020-01-31,Accrued Leave Payable,489740.50,LIABILITIES
2020-01-31,Total Liabilities,4487841.74,LIABILITIES
2020-01-31,EQUITY,39915484.83,EQUITY
2020-01-31,TOTAL LIABILITIES & EQUITY,44403326.57,EQUITY
2021-01-31,Cash,31212799.45,ASSETS
2021-01-31,Accounts Receivable,244243.99,ASSETS
2021-01-31,Prepaid Expenses,315417.74,ASSETS
2021-01-31,Fixed Assets,44972216.09,ASSETS
2021-01-31,Less Accum Depreciation,-31804417.44,ASSETS
2021-01-31,TOTAL ASSETS,44940259.83,ASSETS
2021-01-31,Accounts Payable,514682.25,LIABILITIES
2021-01-31,Accrued Liabilities,1460833.88,LIABILITIES
2021-01-31,Accrued Salaries,375743.30,LIABILITIES
2021-01-31,Accrued Leave Payable,519467.32,LIABILITIES
2021-01-31,Total Liabilities,2870726.75,LIABILITIES
2021-01-31,EQUITY,42069533.08,EQUITY
2021-01-31,TOTAL LIABILITIES & EQUITY,44940259.83,EQUITY
2022-01-31,Cash,39339454.24,ASSETS
2022-01-31,Accounts Receivable,232942.98,ASSETS
2022-01-31,Prepaid Expenses,415342.13,ASSETS
2022-01-31,Fixed Assets,42912855.73,ASSETS
2022-01-31,Less Accum Depreciation,-33835659.16,ASSETS
2022-01-31,TOTAL ASSETS,49064935.92,ASSETS
2022-01-31,Accounts Payable,576746.14,LIABILITIES
2022-01-31,Distributions Payable,656113.82,LIABILITIES
2022-01-31,Accrued Liabilities,1645371.31,LIABILITIES
2022-01-31,Accrued Salaries,433439.15,LIABILITIES
2022-01-31,Accrued Leave Payable,520292.46,LIABILITIES
2022-01-31,Total Liabilities,3831962.88,LIABILITIES
2022-01-31,EQUITY,45232973.04,EQUITY
2022-01-31,TOTAL LIABILITIES & EQUITY,49064935.92,EQUITY
2023-01-31,Cash--Operating,23536831.76,ASSETS
2023-01-31,Cash--Restricted,17219096.52,ASSETS
2023-01-31,Accounts Receivable,237956.49,ASSETS
2023-01-31,Prepaid Expenses,428773.89,ASSETS
2023-01-31,Fixed Assets,44064006.18,ASSETS
2023-01-31,Less Accum Depreciation,-34054098.56,ASSETS
2023-01-31,TOTAL ASSETS,51432566.28,ASSETS
2023-01-31,Accounts Payable,1955304.52,LIABILITIES
2023-01-31,Distributions Payable,2013628.95,LIABILITIES
2023-01-31,Accrued Liabilities,1276419.09,LIABILITIES
2023-01-31,Accrued Salaries,443377.67,LIABILITIES
2023-01-31,Accrued Leave Payable,510863.01,LIABILITIES
2023-01-31,Total Liabilities,6199593.24,LIABILITIES
2023-01-31,EQUITY,45232973.04,EQUITY
2023-01-31,TOTAL LIABILITIES & EQUITY,51432566.28,EQUITY
2024-01-31,Cash--Operating,30107447.82,ASSETS
2024-01-31,Cash--Restricted,2489687.72,ASSETS
2024-01-31,Accounts Receivable,468406.14,ASSETS
2024-01-31,Prepaid Expenses,942219.64,ASSETS
2024-01-31,Fixed Assets,51274235.22,ASSETS
2024-01-31,Less Accum Depreciation,-31665117.42,ASSETS
2024-01-31,TOTAL ASSETS,53616879.12,ASSETS
2024-01-31,Accounts Payable,3384537.65,LIABILITIES
2024-01-31,Distributions Payable,2336234.21,LIABILITIES
2024-01-31,Accrued Liabilities,1613579.03,LIABILITIES
2024-01-31,Accrued Salaries,498303.85,LIABILITIES
2024-01-31,Accrued Leave Payable,551251.34,LIABILITIES
2024-01-31,Total Liabilities,8383906.08,LIABILITIES
2024-01-31,EQUITY,45232973.04,EQUITY
2024-01-31,TOTAL LIABILITIES & EQUITY,53616879.12,EQUITY
2020-02-29,Cash,28612436.38,ASSETS
2020-02-29,Accounts Receivable,136046.36,ASSETS
2020-02-29,Prepaid Expenses,349426.24,ASSETS
2020-02-29,Fixed Assets,44830490.70,ASSETS
2020-02-29,Less Accum Depreciation,-29597789.92,ASSETS
2020-02-29,TOTAL ASSETS,44330609.76,ASSETS
2020-02-29,Accounts Payable,506803.88,LIABILITIES
2020-02-29,Distributions Payable,1286519.03,LIABILITIES
